identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:31:FB:AF,0,0,-76,1,5,55,-28
80:6F:B0:31:FB:AF,0,1,-76,1,5,-9,-32
80:6F:B0:31:FB:AF,0,2,-76,1,5,-41,34
80:6F:B0:31:FB:AF,0,3,-76,1,5,18,31
80:6F:B0:31:FB:AF,0,4,-76,1,5,17,-38
80:6F:B0:31:FB:AF,0,5,-76,1,5,-44,-33
80:6F:B0:31:FB:AF,0,6,-76,1,5,-31,32
80:6F:B0:31:FB:AF,0,7,-76,1,5,47,42
80:6F:B0:31:FB:AF,0,8,-76,1,5,-32,-30
80:6F:B0:31:FB:AF,0,9,-76,1,5,75,-14
80:6F:B0:31:FB:AF,0,10,-76,1,5,-45,32
80:6F:B0:31:FB:AF,0,11,-76,1,5,35,31
80:6F:B0:31:FB:AF,0,12,-76,1,5,-62,-17
80:6F:B0:31:FB:AF,0,13,-76,1,5,48,-16
80:6F:B0:31:FB:AF,0,14,-76,1,5,-43,-41
80:6F:B0:31:FB:AF,0,15,-76,1,5,49,5
80:6F:B0:31:FB:AF,0,16,-76,1,5,-68,22
80:6F:B0:31:FB:AF,0,17,-76,1,5,21,46
80:6F:B0:31:FB:AF,0,18,-76,1,5,-82,-16
80:6F:B0:31:FB:AF,0,19,-76,1,5,46,-7
80:6F:B0:31:FB:AF,0,20,-76,1,5,-40,-48
80:6F:B0:31:FB:AF,0,21,-76,1,5,47,9
80:6F:B0:31:FB:AF,0,22,-76,1,5,-68,24
80:6F:B0:31:FB:AF,0,23,-76,1,5,16,36
80:6F:B0:31:FB:AF,0,24,-76,1,5,-58,-21
80:6F:B0:31:FB:AF,0,25,-76,1,5,61,3
80:6F:B0:31:FB:AF,0,26,-76,1,5,-12,-54
80:6F:B0:31:FB:AF,0,27,-76,1,5,63,20
80:6F:B0:31:FB:AF,0,28,-76,1,5,-72,-5
80:6F:B0:31:FB:AF,0,29,-76,1,5,20,60
80:6F:B0:31:FB:AF,0,30,-76,1,5,-49,-32
80:6F:B0:31:FB:AF,0,31,-76,1,5,64,-9
80:6F:B0:31:FB:AF,0,32,-76,1,5,-29,-63
80:6F:B0:31:FB:AF,0,33,-76,1,5,69,43
80:6F:B0:31:FB:AF,0,34,-76,1,5,-48,0
80:6F:B0:31:FB:AF,0,35,-76,1,5,7,43
80:6F:B0:31:FB:AF,0,36,-76,1,5,-42,-43
80:6F:B0:31:FB:AF,0,37,-76,1,5,56,24
80:6F:B0:31:FB:AF,0,38,-76,1,5,-4,-65
80:6F:B0:31:FB:AF,0,39,-76,1,5,40,41
80:6F:B0:31:FB:AF,0,40,-76,1,5,-50,-9
80:6F:B0:31:FB:AF,0,41,-76,1,5,-1,54
80:6F:B0:31:FB:AF,0,42,-76,1,5,-51,-46
80:6F:B0:31:FB:AF,0,43,-76,1,5,58,36
80:6F:B0:31:FB:AF,0,44,-76,1,5,2,-54
80:6F:B0:31:FB:AF,0,45,-76,1,5,38,50
80:6F:B0:31:FB:AF,0,46,-76,1,5,-49,-12
80:6F:B0:31:FB:AF,0,47,-76,1,5,-1,68
80:6F:B0:31:FB:AF,0,48,-76,1,5,-33,-34
80:6F:B0:31:FB:AF,0,49,-76,1,5,61,22
80:6F:B0:31:FB:AF,0,50,-76,1,5,2,-52
80:6F:B0:31:FB:AF,0,51,-76,1,5,57,46
80:6F:B0:31:FB:AF,0,52,-76,1,5,-48,-13
80:6F:B0:31:FB:AF,0,53,-76,1,5,-15,51
80:6F:B0:31:FB:AF,0,54,-76,1,5,-38,-65
80:6F:B0:31:FB:AF,0,55,-76,1,5,50,18
80:6F:B0:31:FB:AF,0,56,-76,1,5,12,-47
80:6F:B0:31:FB:AF,0,57,-76,1,5,43,62
80:6F:B0:31:FB:AF,0,58,-76,1,5,-55,-32
80:6F:B0:31:FB:AF,0,59,-76,1,5,-13,42
80:6F:B0:31:FB:AF,0,60,-76,1,5,-37,-69
80:6F:B0:31:FB:AF,0,61,-76,1,5,42,49
80:6F:B0:31:FB:AF,0,62,-76,1,5,18,-43
80:6F:B0:31:FB:AF,0,63,-76,1,5,13,53
80:6F:B0:31:FB:AF,0,64,-76,1,5,-45,-32
80:6F:B0:31:FB:AF,0,65,-76,1,5,-15,49
80:6F:B0:31:FB:AF,0,66,-76,1,5,-34,-50
80:6F:B0:31:FB:AF,0,67,-76,1,5,51,44
80:6F:B0:31:FB:AF,0,68,-76,1,5,18,-49
