identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:EE:AC:E1,0,0,-51,1,34,-59,62
80:6F:B0:EE:AC:E1,0,1,-51,1,34,67,53
80:6F:B0:EE:AC:E1,0,2,-51,1,34,42,-78
80:6F:B0:EE:AC:E1,0,3,-51,1,34,-78,-37
80:6F:B0:EE:AC:E1,0,4,-51,1,34,-24,80
80:6F:B0:EE:AC:E1,0,5,-51,1,34,88,13
80:6F:B0:EE:AC:E1,0,6,-51,1,34,7,-85
80:6F:B0:EE:AC:E1,0,7,-51,1,34,-87,1
80:6F:B0:EE:AC:E1,0,8,-51,1,34,86,-14
80:6F:B0:EE:AC:E1,0,9,-51,1,34,-76,35
80:6F:B0:EE:AC:E1,0,10,-51,1,34,63,-57
80:6F:B0:EE:AC:E1,0,11,-51,1,34,-36,78
80:6F:B0:EE:AC:E1,0,12,-51,1,34,23,-81
80:6F:B0:EE:AC:E1,0,13,-51,1,34,-4,86
80:6F:B0:EE:AC:E1,0,14,-51,1,34,-18,-85
80:6F:B0:EE:AC:E1,0,15,-51,1,34,40,74
80:6F:B0:EE:AC:E1,0,16,-51,1,34,-56,-62
80:6F:B0:EE:AC:E1,0,17,-51,1,34,70,50
80:6F:B0:EE:AC:E1,0,18,-51,1,34,-80,-33
80:6F:B0:EE:AC:E1,0,19,-51,1,34,84,14
80:6F:B0:EE:AC:E1,0,20,-51,1,34,-87,4
80:6F:B0:EE:AC:E1,0,21,-51,1,34,80,-29
80:6F:B0:EE:AC:E1,0,22,-51,1,34,-69,49
80:6F:B0:EE:AC:E1,0,23,-51,1,34,60,-59
80:6F:B0:EE:AC:E1,0,24,-51,1,34,-46,70
80:6F:B0:EE:AC:E1,0,25,-51,1,34,29,-82
80:6F:B0:EE:AC:E1,0,26,-51,1,34,-2,85
80:6F:B0:EE:AC:E1,0,27,-51,1,34,-26,-82
80:6F:B0:EE:AC:E1,0,28,-51,1,34,43,74
80:6F:B0:EE:AC:E1,0,29,-51,1,34,-60,-59
80:6F:B0:EE:AC:E1,0,30,-51,1,34,70,49
80:6F:B0:EE:AC:E1,0,31,-51,1,34,-77,-37
80:6F:B0:EE:AC:E1,0,32,-51,1,34,84,16
80:6F:B0:EE:AC:E1,0,33,-51,1,34,-85,1
80:6F:B0:EE:AC:E1,0,34,-51,1,34,79,-28
80:6F:B0:EE:AC:E1,0,35,-51,1,34,-76,41
80:6F:B0:EE:AC:E1,0,36,-51,1,34,59,-59
80:6F:B0:EE:AC:E1,0,37,-51,1,34,-51,69
80:6F:B0:EE:AC:E1,0,38,-51,1,34,28,-78
80:6F:B0:EE:AC:E1,0,39,-51,1,34,-6,84
80:6F:B0:EE:AC:E1,0,40,-51,1,34,-9,-85
80:6F:B0:EE:AC:E1,0,41,-51,1,34,33,80
80:6F:B0:EE:AC:E1,0,42,-51,1,34,-47,-75
80:6F:B0:EE:AC:E1,0,43,-51,1,34,54,67
80:6F:B0:EE:AC:E1,0,44,-51,1,34,-71,-51
80:6F:B0:EE:AC:E1,0,45,-51,1,34,81,26
80:6F:B0:EE:AC:E1,0,46,-51,1,34,-84,-5
80:6F:B0:EE:AC:E1,0,47,-51,1,34,83,-16
80:6F:B0:EE:AC:E1,0,48,-51,1,34,-71,45
80:6F:B0:EE:AC:E1,0,49,-51,1,34,65,-57
80:6F:B0:EE:AC:E1,0,50,-51,1,34,-45,71
80:6F:B0:EE:AC:E1,0,51,-51,1,34,27,-84
80:6F:B0:EE:AC:E1,0,52,-51,1,34,-5,87
80:6F:B0:EE:AC:E1,0,53,-51,1,34,-10,-84
80:6F:B0:EE:AC:E1,0,54,-51,1,34,33,81
80:6F:B0:EE:AC:E1,0,55,-51,1,34,-53,-67
80:6F:B0:EE:AC:E1,0,56,-51,1,34,66,56
80:6F:B0:EE:AC:E1,0,57,-51,1,34,-79,-33
80:6F:B0:EE:AC:E1,0,58,-51,1,34,84,17
80:6F:B0:EE:AC:E1,0,59,-51,1,34,-86,-4
80:6F:B0:EE:AC:E1,0,60,-51,1,34,85,-9
80:6F:B0:EE:AC:E1,0,61,-51,1,34,-80,33
80:6F:B0:EE:AC:E1,0,62,-51,1,34,69,-50
80:6F:B0:EE:AC:E1,0,63,-51,1,34,-48,73
80:6F:B0:EE:AC:E1,0,64,-51,1,34,30,-81
80:6F:B0:EE:AC:E1,0,65,-51,1,34,-8,84
80:6F:B0:EE:AC:E1,0,66,-51,1,34,-7,-87
80:6F:B0:EE:AC:E1,0,67,-51,1,34,24,81
80:6F:B0:EE:AC:E1,0,68,-51,1,34,-44,-72
80:6F:B0:EE:AC:E1,0,69,-51,1,34,57,62
80:6F:B0:EE:AC:E1,0,70,-51,1,34,-74,-44
80:6F:B0:EE:AC:E1,0,71,-51,1,34,84,24
80:6F:B0:EE:AC:E1,0,72,-51,1,34,-86,-9
80:6F:B0:EE:AC:E1,0,73,-51,1,34,85,-18
80:6F:B0:EE:AC:E1,0,74,-51,1,34,-76,38
80:6F:B0:EE:AC:E1,0,75,-51,1,34,69,-48
80:6F:B0:EE:AC:E1,0,76,-51,1,34,-50,69
80:6F:B0:EE:AC:E1,0,77,-51,1,34,34,-78
80:6F:B0:EE:AC:E1,0,78,-51,1,34,-16,85
80:6F:B0:EE:AC:E1,0,79,-51,1,34,-5,-85
80:6F:B0:EE:AC:E1,0,80,-51,1,34,29,82
80:6F:B0:EE:AC:E1,0,81,-51,1,34,-51,-72
80:6F:B0:EE:AC:E1,1,0,-51,1,9,19,-79
80:6F:B0:EE:AC:E1,1,1,-51,1,9,-80,-14
80:6F:B0:EE:AC:E1,1,2,-51,1,9,-5,80
80:6F:B0:EE:AC:E1,1,3,-51,1,9,80,0
80:6F:B0:EE:AC:E1,1,4,-51,1,9,-8,-81
80:6F:B0:EE:AC:E1,1,5,-51,1,9,-79,22
80:6F:B0:EE:AC:E1,1,6,-51,1,9,24,78
80:6F:B0:EE:AC:E1,1,7,-51,1,9,74,-29
80:6F:B0:EE:AC:E1,1,8,-51,1,9,-68,41
80:6F:B0:EE:AC:E1,1,9,-51,1,9,63,-50
80:6F:B0:EE:AC:E1,1,10,-51,1,9,-46,65
80:6F:B0:EE:AC:E1,1,11,-51,1,9,30,-75
80:6F:B0:EE:AC:E1,1,12,-51,1,9,-18,79
80:6F:B0:EE:AC:E1,1,13,-51,1,9,3,-81
80:6F:B0:EE:AC:E1,1,14,-51,1,9,13,79
80:6F:B0:EE:AC:E1,1,15,-51,1,9,-22,-78
80:6F:B0:EE:AC:E1,1,16,-51,1,9,30,75
80:6F:B0:EE:AC:E1,1,17,-51,1,9,-44,-64
80:6F:B0:EE:AC:E1,1,18,-51,1,9,60,53
80:6F:B0:EE:AC:E1,1,19,-51,1,9,-70,-39
80:6F:B0:EE:AC:E1,1,20,-51,1,9,76,22
80:6F:B0:EE:AC:E1,1,21,-51,1,9,-79,-6
80:6F:B0:EE:AC:E1,1,22,-51,1,9,81,-6
80:6F:B0:EE:AC:E1,1,23,-51,1,9,-77,24
80:6F:B0:EE:AC:E1,1,24,-51,1,9,70,-36
80:6F:B0:EE:AC:E1,1,25,-51,1,9,-66,45
80:6F:B0:EE:AC:E1,1,26,-51,1,9,56,-58
80:6F:B0:EE:AC:E1,1,27,-51,1,9,-44,65
80:6F:B0:EE:AC:E1,1,28,-51,1,9,32,-74
80:6F:B0:EE:AC:E1,1,29,-51,1,9,-16,78
80:6F:B0:EE:AC:E1,1,30,-51,1,9,-3,-79
80:6F:B0:EE:AC:E1,1,31,-51,1,9,20,77
80:6F:B0:EE:AC:E1,1,32,-51,1,9,-29,-74
80:6F:B0:EE:AC:E1,1,33,-51,1,9,40,70
80:6F:B0:EE:AC:E1,1,34,-51,1,9,-57,-54
80:6F:B0:EE:AC:E1,1,35,-51,1,9,67,45
80:6F:B0:EE:AC:E1,1,36,-51,1,9,-74,-32
80:6F:B0:EE:AC:E1,1,37,-51,1,9,76,23
80:6F:B0:EE:AC:E1,1,38,-51,1,9,-78,-8
80:6F:B0:EE:AC:E1,1,39,-51,1,9,77,-9
80:6F:B0:EE:AC:E1,1,40,-51,1,9,-75,28
80:6F:B0:EE:AC:E1,1,41,-51,1,9,70,-36
80:6F:B0:EE:AC:E1,1,42,-51,1,9,-64,48
80:6F:B0:EE:AC:E1,1,43,-51,1,9,56,-55
80:6F:B0:EE:AC:E1,1,44,-51,1,9,-46,63
80:6F:B0:EE:AC:E1,1,45,-51,1,9,33,-74
80:6F:B0:EE:AC:E1,1,46,-51,1,9,-12,80
80:6F:B0:EE:AC:E1,1,47,-51,1,9,1,-80
80:6F:B0:EE:AC:E1,1,48,-51,1,9,15,78
80:6F:B0:EE:AC:E1,1,49,-51,1,9,-23,-75
80:6F:B0:EE:AC:E1,1,50,-51,1,9,38,71
80:6F:B0:EE:AC:E1,1,51,-51,1,9,-55,-56
80:6F:B0:EE:AC:E1,1,52,-51,1,9,69,42
80:6F:B0:EE:AC:E1,1,53,-51,1,9,-78,-26
80:6F:B0:EE:AC:E1,1,54,-51,1,9,78,10
80:6F:B0:EE:AC:E1,1,55,-51,1,9,-81,-1
80:6F:B0:EE:AC:E1,1,56,-51,1,9,79,-11
80:6F:B0:EE:AC:E1,1,57,-51,1,9,-76,27
80:6F:B0:EE:AC:E1,1,58,-51,1,9,72,-38
80:6F:B0:EE:AC:E1,1,59,-51,1,9,-60,52
80:6F:B0:EE:AC:E1,1,60,-51,1,9,52,-63
80:6F:B0:EE:AC:E1,1,61,-51,1,9,-42,69
80:6F:B0:EE:AC:E1,1,62,-51,1,9,21,-76
80:6F:B0:EE:AC:E1,1,63,-51,1,9,-10,79
80:6F:B0:EE:AC:E1,1,64,-51,1,9,-4,-79
80:6F:B0:EE:AC:E1,1,65,-51,1,9,11,80
80:6F:B0:EE:AC:E1,1,66,-51,1,9,-32,-73
80:6F:B0:EE:AC:E1,1,67,-51,1,9,42,68
80:6F:B0:EE:AC:E1,1,68,-51,1,9,-59,-55
80:6F:B0:EE:AC:E1,1,69,-51,1,9,69,37
80:6F:B0:EE:AC:E1,1,70,-51,1,9,-78,-23
80:6F:B0:EE:AC:E1,1,71,-51,1,9,81,11
80:6F:B0:EE:AC:E1,1,72,-51,1,9,-82,-1
80:6F:B0:EE:AC:E1,1,73,-51,1,9,79,-13
80:6F:B0:EE:AC:E1,1,74,-51,1,9,-76,28
80:6F:B0:EE:AC:E1,1,75,-51,1,9,69,-39
80:6F:B0:EE:AC:E1,1,76,-51,1,9,-63,46
80:6F:B0:EE:AC:E1,1,77,-51,1,9,56,-57
80:6F:B0:EE:AC:E1,1,78,-51,1,9,-40,69
80:6F:B0:EE:AC:E1,1,79,-51,1,9,27,-76
80:6F:B0:EE:AC:E1,1,80,-51,1,9,-6,81
80:6F:B0:EE:AC:E1,1,81,-51,1,9,-8,-81
80:6F:B0:EE:AC:E1,2,0,-51,1,21,32,-68
80:6F:B0:EE:AC:E1,2,1,-51,1,21,-70,-24
80:6F:B0:EE:AC:E1,2,2,-51,1,21,-16,74
80:6F:B0:EE:AC:E1,2,3,-51,1,21,73,14
80:6F:B0:EE:AC:E1,2,4,-51,1,21,5,-75
80:6F:B0:EE:AC:E1,2,5,-51,1,21,-74,0
80:6F:B0:EE:AC:E1,2,6,-51,1,21,8,78
80:6F:B0:EE:AC:E1,2,7,-51,1,21,72,-11
80:6F:B0:EE:AC:E1,2,8,-51,1,21,-71,21
80:6F:B0:EE:AC:E1,2,9,-51,1,21,68,-32
80:6F:B0:EE:AC:E1,2,10,-51,1,21,-56,47
80:6F:B0:EE:AC:E1,2,11,-51,1,21,52,-55
80:6F:B0:EE:AC:E1,2,12,-51,1,21,-41,60
80:6F:B0:EE:AC:E1,2,13,-51,1,21,31,-68
80:6F:B0:EE:AC:E1,2,14,-51,1,21,-18,72
80:6F:B0:EE:AC:E1,2,15,-51,1,21,15,-74
80:6F:B0:EE:AC:E1,2,16,-51,1,21,4,73
80:6F:B0:EE:AC:E1,2,17,-51,1,21,-14,-74
80:6F:B0:EE:AC:E1,2,18,-51,1,21,29,69
80:6F:B0:EE:AC:E1,2,19,-51,1,21,-38,-64
80:6F:B0:EE:AC:E1,2,20,-51,1,21,45,56
80:6F:B0:EE:AC:E1,2,21,-51,1,21,-53,-55
80:6F:B0:EE:AC:E1,2,22,-51,1,21,59,44
80:6F:B0:EE:AC:E1,2,23,-51,1,21,-67,-32
80:6F:B0:EE:AC:E1,2,24,-51,1,21,73,15
80:6F:B0:EE:AC:E1,2,25,-51,1,21,-76,-9
80:6F:B0:EE:AC:E1,2,26,-51,1,21,74,-1
80:6F:B0:EE:AC:E1,2,27,-51,1,21,-73,14
80:6F:B0:EE:AC:E1,2,28,-51,1,21,64,-28
80:6F:B0:EE:AC:E1,2,29,-51,1,21,-64,37
80:6F:B0:EE:AC:E1,2,30,-51,1,21,58,-47
80:6F:B0:EE:AC:E1,2,31,-51,1,21,-49,57
80:6F:B0:EE:AC:E1,2,32,-51,1,21,37,-62
80:6F:B0:EE:AC:E1,2,33,-51,1,21,-28,68
80:6F:B0:EE:AC:E1,2,34,-51,1,21,16,-72
80:6F:B0:EE:AC:E1,2,35,-51,1,21,-6,74
80:6F:B0:EE:AC:E1,2,36,-51,1,21,-5,-76
80:6F:B0:EE:AC:E1,2,37,-51,1,21,17,72
80:6F:B0:EE:AC:E1,2,38,-51,1,21,-35,-66
80:6F:B0:EE:AC:E1,2,39,-51,1,21,45,58
80:6F:B0:EE:AC:E1,2,40,-51,1,21,-54,-48
80:6F:B0:EE:AC:E1,2,41,-51,1,21,55,47
80:6F:B0:EE:AC:E1,2,42,-51,1,21,-64,-37
80:6F:B0:EE:AC:E1,2,43,-51,1,21,68,29
80:6F:B0:EE:AC:E1,2,44,-51,1,21,-73,-12
80:6F:B0:EE:AC:E1,2,45,-51,1,21,76,-1
80:6F:B0:EE:AC:E1,2,46,-51,1,21,-72,10
80:6F:B0:EE:AC:E1,2,47,-51,1,21,73,-14
80:6F:B0:EE:AC:E1,2,48,-51,1,21,-68,27
80:6F:B0:EE:AC:E1,2,49,-51,1,21,63,-39
80:6F:B0:EE:AC:E1,2,50,-51,1,21,-59,48
80:6F:B0:EE:AC:E1,2,51,-51,1,21,54,-52
80:6F:B0:EE:AC:E1,2,52,-51,1,21,-42,59
80:6F:B0:EE:AC:E1,2,53,-51,1,21,23,-72
80:6F:B0:EE:AC:E1,2,54,-51,1,21,-6,73
80:6F:B0:EE:AC:E1,2,55,-51,1,21,-7,-75
80:6F:B0:EE:AC:E1,2,56,-51,1,21,14,74
80:6F:B0:EE:AC:E1,2,57,-51,1,21,-21,-73
80:6F:B0:EE:AC:E1,2,58,-51,1,21,34,66
80:6F:B0:EE:AC:E1,2,59,-51,1,21,-40,-60
80:6F:B0:EE:AC:E1,2,60,-51,1,21,49,56
80:6F:B0:EE:AC:E1,2,61,-51,1,21,-56,-48
80:6F:B0:EE:AC:E1,2,62,-51,1,21,65,35
80:6F:B0:EE:AC:E1,2,63,-51,1,21,-70,-22
80:6F:B0:EE:AC:E1,2,64,-51,1,21,76,13
80:6F:B0:EE:AC:E1,2,65,-51,1,21,-75,-2
80:6F:B0:EE:AC:E1,2,66,-51,1,21,73,-13
80:6F:B0:EE:AC:E1,2,67,-51,1,21,-71,22
80:6F:B0:EE:AC:E1,2,68,-51,1,21,64,-37
80:6F:B0:EE:AC:E1,2,69,-51,1,21,-60,47
80:6F:B0:EE:AC:E1,2,70,-51,1,21,47,-55
80:6F:B0:EE:AC:E1,2,71,-51,1,21,-45,61
80:6F:B0:EE:AC:E1,2,72,-51,1,21,26,-69
80:6F:B0:EE:AC:E1,2,73,-51,1,21,-17,73
80:6F:B0:EE:AC:E1,2,74,-51,1,21,3,-73
80:6F:B0:EE:AC:E1,2,75,-51,1,21,1,74
80:6F:B0:EE:AC:E1,2,76,-51,1,21,-17,-72
80:6F:B0:EE:AC:E1,2,77,-51,1,21,29,69
80:6F:B0:EE:AC:E1,2,78,-51,1,21,-38,-64
80:6F:B0:EE:AC:E1,2,79,-51,1,21,47,60
80:6F:B0:EE:AC:E1,2,80,-51,1,21,-54,-51
80:6F:B0:EE:AC:E1,2,81,-51,1,21,63,41
80:6F:B0:EE:AC:E1,3,0,-51,1,33,-62,62
80:6F:B0:EE:AC:E1,3,1,-51,1,33,72,54
80:6F:B0:EE:AC:E1,3,2,-51,1,33,46,-74
80:6F:B0:EE:AC:E1,3,3,-51,1,33,-78,-43
80:6F:B0:EE:AC:E1,3,4,-51,1,33,-35,80
80:6F:B0:EE:AC:E1,3,5,-51,1,33,85,28
80:6F:B0:EE:AC:E1,3,6,-51,1,33,23,-83
80:6F:B0:EE:AC:E1,3,7,-51,1,33,-86,-20
80:6F:B0:EE:AC:E1,3,8,-51,1,33,89,-5
80:6F:B0:EE:AC:E1,3,9,-51,1,33,-86,23
80:6F:B0:EE:AC:E1,3,10,-51,1,33,81,-32
80:6F:B0:EE:AC:E1,3,11,-51,1,33,-76,50
80:6F:B0:EE:AC:E1,3,12,-51,1,33,64,-58
80:6F:B0:EE:AC:E1,3,13,-51,1,33,-57,69
80:6F:B0:EE:AC:E1,3,14,-51,1,33,40,-79
80:6F:B0:EE:AC:E1,3,15,-51,1,33,-34,81
80:6F:B0:EE:AC:E1,3,16,-51,1,33,18,-87
80:6F:B0:EE:AC:E1,3,17,-51,1,33,-4,86
80:6F:B0:EE:AC:E1,3,18,-51,1,33,0,-91
80:6F:B0:EE:AC:E1,3,19,-51,1,33,16,86
80:6F:B0:EE:AC:E1,3,20,-51,1,33,-25,-85
80:6F:B0:EE:AC:E1,3,21,-51,1,33,40,78
80:6F:B0:EE:AC:E1,3,22,-51,1,33,-55,-69
80:6F:B0:EE:AC:E1,3,23,-51,1,33,63,64
80:6F:B0:EE:AC:E1,3,24,-51,1,33,-75,-45
80:6F:B0:EE:AC:E1,3,25,-51,1,33,77,37
80:6F:B0:EE:AC:E1,3,26,-51,1,33,-82,-30
80:6F:B0:EE:AC:E1,3,27,-51,1,33,83,28
80:6F:B0:EE:AC:E1,3,28,-51,1,33,-89,-3
80:6F:B0:EE:AC:E1,3,29,-51,1,33,88,-7
80:6F:B0:EE:AC:E1,3,30,-51,1,33,-86,21
80:6F:B0:EE:AC:E1,3,31,-51,1,33,76,-43
80:6F:B0:EE:AC:E1,3,32,-51,1,33,-72,49
80:6F:B0:EE:AC:E1,3,33,-51,1,33,61,-63
80:6F:B0:EE:AC:E1,3,34,-51,1,33,-52,70
80:6F:B0:EE:AC:E1,3,35,-51,1,33,41,-75
80:6F:B0:EE:AC:E1,3,36,-51,1,33,-32,81
80:6F:B0:EE:AC:E1,3,37,-51,1,33,7,-88
80:6F:B0:EE:AC:E1,3,38,-51,1,33,0,88
80:6F:B0:EE:AC:E1,3,39,-51,1,33,-8,-88
80:6F:B0:EE:AC:E1,3,40,-51,1,33,27,81
80:6F:B0:EE:AC:E1,3,41,-51,1,33,-32,-82
80:6F:B0:EE:AC:E1,3,42,-51,1,33,48,74
80:6F:B0:EE:AC:E1,3,43,-51,1,33,-48,-71
80:6F:B0:EE:AC:E1,3,44,-51,1,33,66,58
80:6F:B0:EE:AC:E1,3,45,-51,1,33,-77,-45
80:6F:B0:EE:AC:E1,3,46,-51,1,33,81,34
