[2021-03-16 10:42:52,382]      root -     INFO - Setting nodes : 
[2021-03-16 10:42:52,385]      root -     INFO - Message receiver started
[2021-03-16 10:42:52,386]      root -     INFO - RTLS Manager started
[2021-03-16 10:42:54,393]      root -     INFO - Done setting node
[2021-03-16 10:42:54,397]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-16 10:42:54,398]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-16 10:42:54,471]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-16 10:42:54,472]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-16 10:42:54,477]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-16 10:42:54,534]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-16 10:42:54,611]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-16 10:42:54,719]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:42:54,803]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -64, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-16 10:42:56,718]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:42:56,828]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-16 10:42:56,988]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:42:56,989]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -63, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-16 10:42:58,937]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:42:59,035]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-16 10:42:59,122]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:42:59,202]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -63, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-16 10:43:01,086]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:01,201]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_CONNECT', 'payload': {'addrType': 0, 'peerAddr': '80:6F:B0:31:D7:F1', 'connInterval': 240}}
[2021-03-16 10:43:01,302]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 1662554166, 'connInterval': 480, 'hopValue': 9, 'mSCA': 0, 'currChan': 9, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 16120852}}
[2021-03-16 10:43:01,303]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_CONNECT', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:01,304]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 1662554166, 'connInterval': 480, 'hopValue': 9, 'mSCA': 0, 'currChan': 9, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 16120852, 'peerAddr': '80:6F:B0:31:D7:F1'}}
[2021-03-16 10:43:01,438]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Response', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:02,007]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:04,877]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:04,970]      root -     INFO - Connection process done
[2021-03-16 10:43:04,974]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-16 10:43:04,976]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-16 10:43:05,070]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': False, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': True, 'RTLS_PASSIVE': False}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:EE:AC:E1'}}
[2021-03-16 10:43:05,071]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': True, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': False, 'RTLS_PASSIVE': True}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:31:D9:95'}}
[2021-03-16 10:43:05,091]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_PASSIVE', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [0, 1, 2]}}
[2021-03-16 10:43:05,094]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_MASTER', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [0, 1, 2]}}
[2021-03-16 10:43:05,190]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:05,191]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:05,217]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-16 10:43:05,219]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-16 10:43:05,219]      root -     INFO - AOA Started
[2021-03-16 10:43:05,323]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:05,323]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:43:06,043]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 5, 'offset': 0, 'samplesLength': 512, 'samples': [{'q': -8, 'i': 140}, {'q': 47, 'i': 130}, {'q': 96, 'i': 99}, {'q': 127, 'i': 53}, {'q': 137, 'i': 6}, {'q': 128, 'i': -49}, {'q': 102, 'i': -94}, {'q': 55, 'i': -129}, {'q': -3, 'i': -143}, {'q': -53, 'i': -134}, {'q': -99, 'i': -103}, {'q': -123, 'i': -61}, {'q': -133, 'i': -8}, {'q': -126, 'i': 40}, {'q': -101, 'i': 89}, {'q': -57, 'i': 125}, {'q': -9, 'i': 142}, {'q': 48, 'i': 138}, {'q': 90, 'i': 115}, {'q': 122, 'i': 72}, {'q': 135, 'i': 26}, {'q': 131, 'i': -28}, {'q': 109, 'i': -79}, {'q': 74, 'i': -117}, {'q': 23, 'i': -145}, {'q': -26, 'i': -149}, {'q': -77, 'i': -129}, {'q': -114, 'i': -85}, {'q': -133, 'i': -32}, {'q': -134, 'i': 29}, {'q': -114, 'i': 76}, {'q': -69, 'i': 112}]}}
[2021-03-16 10:43:06,086]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 33, 'offset': 0, 'samplesLength': 82, 'samples': [{'q': -66, 'i': -65}, {'q': 62, 'i': -69}, {'q': 69, 'i': 61}, {'q': -62, 'i': 67}, {'q': -77, 'i': -55}, {'q': 53, 'i': -76}, {'q': 79, 'i': 48}, {'q': -45, 'i': 79}, {'q': 35, 'i': -87}, {'q': -26, 'i': 86}, {'q': 17, 'i': -90}, {'q': -5, 'i': 93}, {'q': -7, 'i': -92}, {'q': 15, 'i': 90}, {'q': -22, 'i': -89}, {'q': 35, 'i': 86}, {'q': -35, 'i': -88}, {'q': 50, 'i': 77}, {'q': -62, 'i': -66}, {'q': 68, 'i': 62}, {'q': -81, 'i': -44}, {'q': 86, 'i': 35}, {'q': -85, 'i': -29}, {'q': 91, 'i': 20}, {'q': -91, 'i': -16}, {'q': 89, 'i': -1}, {'q': -90, 'i': 19}, {'q': 90, 'i': -17}, {'q': -85, 'i': 40}, {'q': 86, 'i': -39}, {'q': -79, 'i': 46}, {'q': 73, 'i': -59}]}}
[2021-03-16 10:43:06,096]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 33, 'offset': 32, 'samplesLength': 82, 'samples': [{'q': -67, 'i': 65}, {'q': 59, 'i': -73}, {'q': -40, 'i': 83}, {'q': 29, 'i': -87}, {'q': -21, 'i': 89}, {'q': 17, 'i': -92}, {'q': 0, 'i': 94}, {'q': -10, 'i': -94}, {'q': 24, 'i': 90}, {'q': -31, 'i': -87}, {'q': 41, 'i': 86}, {'q': -56, 'i': -75}, {'q': 59, 'i': 72}, {'q': -69, 'i': -62}, {'q': 70, 'i': 61}, {'q': -78, 'i': -54}, {'q': 85, 'i': 35}, {'q': -87, 'i': -34}, {'q': 92, 'i': 17}, {'q': -96, 'i': -5}, {'q': 97, 'i': -8}, {'q': -91, 'i': 22}, {'q': 89, 'i': -36}, {'q': -87, 'i': 35}, {'q': 78, 'i': -52}, {'q': -69, 'i': 63}, {'q': 61, 'i': -67}, {'q': -60, 'i': 72}, {'q': 45, 'i': -83}, {'q': -36, 'i': 87}, {'q': 26, 'i': -91}, {'q': -17, 'i': 91}]}}
[2021-03-16 10:43:06,098]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 33, 'offset': 64, 'samplesLength': 82, 'samples': [{'q': 3, 'i': -96}, {'q': 10, 'i': 93}, {'q': -19, 'i': -94}, {'q': 28, 'i': 91}, {'q': -35, 'i': -86}, {'q': 48, 'i': 82}, {'q': -55, 'i': -76}, {'q': 69, 'i': 62}, {'q': -70, 'i': -61}, {'q': 84, 'i': 45}, {'q': -90, 'i': -30}, {'q': 94, 'i': 20}, {'q': -94, 'i': -9}, {'q': 93, 'i': 5}, {'q': -93, 'i': 3}, {'q': 93, 'i': -11}, {'q': -91, 'i': 28}, {'q': 84, 'i': -39}]}}
[2021-03-16 10:43:06,179]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 5, 'offset': 32, 'samplesLength': 512, 'samples': [{'q': -21, 'i': 130}, {'q': 19, 'i': 132}, {'q': 28, 'i': 124}, {'q': 15, 'i': 114}, {'q': 0, 'i': 104}, {'q': 5, 'i': 96}, {'q': 30, 'i': 84}, {'q': 60, 'i': 66}, {'q': 85, 'i': 36}, {'q': 95, 'i': -4}, {'q': 91, 'i': -41}, {'q': 74, 'i': -76}, {'q': 49, 'i': -97}, {'q': 9, 'i': -105}, {'q': -36, 'i': -95}, {'q': -75, 'i': -73}, {'q': -102, 'i': -37}, {'q': -97, 'i': 1}, {'q': -52, 'i': 41}, {'q': 13, 'i': 61}, {'q': 85, 'i': 52}, {'q': 130, 'i': 11}, {'q': 133, 'i': -40}, {'q': 105, 'i': -95}, {'q': 64, 'i': -126}, {'q': 11, 'i': -138}, {'q': -38, 'i': -132}, {'q': -77, 'i': -115}, {'q': -110, 'i': -82}, {'q': -128, 'i': -41}, {'q': -135, 'i': 15}, {'q': -125, 'i': 66}]}}
[2021-03-16 10:43:06,192]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 5, 'offset': 224, 'samplesLength': 512, 'samples': [{'q': -152, 'i': -1}, {'q': -140, 'i': 27}, {'q': -117, 'i': 20}, {'q': -96, 'i': -16}, {'q': -84, 'i': -45}, {'q': -83, 'i': -49}, {'q': -89, 'i': -26}, {'q': -92, 'i': 17}, {'q': -84, 'i': 52}, {'q': -61, 'i': 81}, {'q': -27, 'i': 96}, {'q': 8, 'i': 96}, {'q': 43, 'i': 82}, {'q': 70, 'i': 61}, {'q': 90, 'i': 27}, {'q': 99, 'i': -9}, {'q': 90, 'i': -49}, {'q': 54, 'i': -70}, {'q': 4, 'i': -62}, {'q': -58, 'i': -20}, {'q': -95, 'i': 34}, {'q': -100, 'i': 94}, {'q': -63, 'i': 135}, {'q': -10, 'i': 149}, {'q': 52, 'i': 142}, {'q': 97, 'i': 117}, {'q': 128, 'i': 71}, {'q': 139, 'i': 21}, {'q': 132, 'i': -37}, {'q': 107, 'i': -89}, {'q': 74, 'i': -123}, {'q': 25, 'i': -144}]}}
[2021-03-16 10:43:06,192]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 5, 'offset': 384, 'samplesLength': 512, 'samples': [{'q': 28, 'i': 101}, {'q': 53, 'i': 71}, {'q': 53, 'i': 13}, {'q': 24, 'i': -49}, {'q': -28, 'i': -101}, {'q': -77, 'i': -114}, {'q': -119, 'i': -87}, {'q': -141, 'i': -37}, {'q': -144, 'i': 13}, {'q': -124, 'i': 63}, {'q': -88, 'i': 99}, {'q': -36, 'i': 126}, {'q': 20, 'i': 136}, {'q': 65, 'i': 129}, {'q': 107, 'i': 101}, {'q': 135, 'i': 58}, {'q': 147, 'i': -1}, {'q': 129, 'i': -56}, {'q': 72, 'i': -100}, {'q': -9, 'i': -116}, {'q': -80, 'i': -103}, {'q': -138, 'i': -62}, {'q': -162, 'i': -12}, {'q': -156, 'i': 47}, {'q': -126, 'i': 95}, {'q': -71, 'i': 133}, {'q': -5, 'i': 147}, {'q': 53, 'i': 140}, {'q': 108, 'i': 114}, {'q': 142, 'i': 76}, {'q': 160, 'i': 18}, {'q': 148, 'i': -50}]}}
[2021-03-16 10:43:06,192]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 5, 'offset': 192, 'samplesLength': 512, 'samples': [{'q': 69, 'i': -90}, {'q': 30, 'i': -95}, {'q': -13, 'i': -58}, {'q': -53, 'i': 16}, {'q': -67, 'i': 90}, {'q': -51, 'i': 132}, {'q': -3, 'i': 143}, {'q': 50, 'i': 126}, {'q': 104, 'i': 88}, {'q': 134, 'i': 44}, {'q': 143, 'i': -11}, {'q': 124, 'i': -62}, {'q': 93, 'i': -97}, {'q': 45, 'i': -123}, {'q': -3, 'i': -134}, {'q': -56, 'i': -133}, {'q': -96, 'i': -113}, {'q': -119, 'i': -60}, {'q': -109, 'i': 17}, {'q': -74, 'i': 86}, {'q': -10, 'i': 136}, {'q': 50, 'i': 143}, {'q': 107, 'i': 112}, {'q': 142, 'i': 55}, {'q': 152, 'i': -2}, {'q': 141, 'i': -65}, {'q': 111, 'i': -111}, {'q': 56, 'i': -147}, {'q': -3, 'i': -161}, {'q': -70, 'i': -150}, {'q': -121, 'i': -109}, {'q': -147, 'i': -57}]}}
[2021-03-16 10:43:06,193]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 5, 'offset': 128, 'samplesLength': 512, 'samples': [{'q': -74, 'i': 141}, {'q': -35, 'i': 147}, {'q': -26, 'i': 121}, {'q': -44, 'i': 76}, {'q': -69, 'i': 46}, {'q': -82, 'i': 41}, {'q': -69, 'i': 63}, {'q': -39, 'i': 88}, {'q': 3, 'i': 103}, {'q': 37, 'i': 96}, {'q': 68, 'i': 70}, {'q': 83, 'i': 38}, {'q': 89, 'i': 1}, {'q': 82, 'i': -33}, {'q': 68, 'i': -63}, {'q': 42, 'i': -90}, {'q': 12, 'i': -102}, {'q': -23, 'i': -84}, {'q': -42, 'i': -28}, {'q': -34, 'i': 41}, {'q': 2, 'i': 108}, {'q': 47, 'i': 132}, {'q': 93, 'i': 110}, {'q': 120, 'i': 61}, {'q': 132, 'i': -3}, {'q': 126, 'i': -56}, {'q': 105, 'i': -91}, {'q': 67, 'i': -116}, {'q': 21, 'i': -127}, {'q': -36, 'i': -123}, {'q': -91, 'i': -101}, {'q': -129, 'i': -68}]}}
[2021-03-16 10:43:06,193]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 5, 'offset': 64, 'samplesLength': 512, 'samples': [{'q': -91, 'i': 112}, {'q': -33, 'i': 130}, {'q': 32, 'i': 112}, {'q': 99, 'i': 56}, {'q': 131, 'i': -12}, {'q': 128, 'i': -84}, {'q': 89, 'i': -128}, {'q': 27, 'i': -148}, {'q': -34, 'i': -145}, {'q': -80, 'i': -128}, {'q': -120, 'i': -90}, {'q': -144, 'i': -45}, {'q': -155, 'i': 13}, {'q': -142, 'i': 70}, {'q': -104, 'i': 112}, {'q': -39, 'i': 143}, {'q': 19, 'i': 152}, {'q': 56, 'i': 142}, {'q': 46, 'i': 123}, {'q': 2, 'i': 102}, {'q': -38, 'i': 95}, {'q': -46, 'i': 99}, {'q': -19, 'i': 104}, {'q': 20, 'i': 101}, {'q': 62, 'i': 83}, {'q': 86, 'i': 57}, {'q': 96, 'i': 22}, {'q': 91, 'i': -14}, {'q': 76, 'i': -43}, {'q': 49, 'i': -72}, {'q': 17, 'i': -92}, {'q': -23, 'i': -100}]}}
[2021-03-16 10:43:06,194]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 5, 'offset': 160, 'samplesLength': 512, 'samples': [{'q': -148, 'i': -17}, {'q': -134, 'i': 34}, {'q': -80, 'i': 85}, {'q': -7, 'i': 114}, {'q': 76, 'i': 116}, {'q': 136, 'i': 84}, {'q': 158, 'i': 33}, {'q': 154, 'i': -34}, {'q': 132, 'i': -87}, {'q': 92, 'i': -129}, {'q': 43, 'i': -148}, {'q': -19, 'i': -146}, {'q': -80, 'i': -125}, {'q': -122, 'i': -91}, {'q': -148, 'i': -37}, {'q': -148, 'i': 22}, {'q': -128, 'i': 81}, {'q': -100, 'i': 109}, {'q': -83, 'i': 93}, {'q': -79, 'i': 44}, {'q': -87, 'i': 0}, {'q': -95, 'i': -14}, {'q': -93, 'i': 7}, {'q': -77, 'i': 49}, {'q': -50, 'i': 84}, {'q': -19, 'i': 99}, {'q': 20, 'i': 97}, {'q': 52, 'i': 84}, {'q': 78, 'i': 60}, {'q': 91, 'i': 32}, {'q': 95, 'i': -10}, {'q': 88, 'i': -58}]}}
