[2021-03-16 10:58:32,682]      root -     INFO - Setting nodes : 
[2021-03-16 10:58:32,684]      root -     INFO - Message receiver started
[2021-03-16 10:58:32,685]      root -     INFO - RTLS Manager started
[2021-03-16 10:58:34,685]      root -     INFO - Done setting node
[2021-03-16 10:58:34,690]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-16 10:58:34,692]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-16 10:58:34,772]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-16 10:58:34,780]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-16 10:58:34,808]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-16 10:58:34,817]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-16 10:58:34,936]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-16 10:58:35,022]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:35,023]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -65, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-16 10:58:36,985]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:37,007]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-16 10:58:37,105]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:37,273]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -63, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-16 10:58:39,087]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:39,173]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-16 10:58:39,258]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:39,258]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -63, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-16 10:58:41,242]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:41,264]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_CONNECT', 'payload': {'addrType': 0, 'peerAddr': '80:6F:B0:31:D7:F1', 'connInterval': 240}}
[2021-03-16 10:58:41,376]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 356444185, 'connInterval': 480, 'hopValue': 7, 'mSCA': 0, 'currChan': 7, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 5415007}}
[2021-03-16 10:58:41,377]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_CONNECT', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:41,380]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 356444185, 'connInterval': 480, 'hopValue': 7, 'mSCA': 0, 'currChan': 7, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 5415007, 'peerAddr': '80:6F:B0:31:D7:F1'}}
[2021-03-16 10:58:41,439]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Response', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:42,091]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:44,721]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:44,800]      root -     INFO - Connection process done
[2021-03-16 10:58:44,806]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-16 10:58:44,807]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-16 10:58:44,924]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': True, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': False, 'RTLS_PASSIVE': True}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:31:D9:95'}}
[2021-03-16 10:58:44,930]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': False, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': True, 'RTLS_PASSIVE': False}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:EE:AC:E1'}}
[2021-03-16 10:58:45,036]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_PASSIVE', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [0, 1, 2]}}
[2021-03-16 10:58:45,038]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_MASTER', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [0, 1, 2]}}
[2021-03-16 10:58:45,120]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:45,121]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:45,147]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:D9:95 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-16 10:58:45,147]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-16 10:58:45,147]      root -     INFO - AOA Started
[2021-03-16 10:58:45,237]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:45,240]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-16 10:58:45,853]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 1, 'offset': 0, 'samplesLength': 512, 'samples': [{'q': -76, 'i': -178}, {'q': -147, 'i': -134}, {'q': -183, 'i': -77}, {'q': -187, 'i': 8}, {'q': -167, 'i': 93}, {'q': -128, 'i': 176}, {'q': -77, 'i': 216}, {'q': 2, 'i': 220}, {'q': 93, 'i': 194}, {'q': 158, 'i': 156}, {'q': 193, 'i': 94}, {'q': 186, 'i': 13}, {'q': 157, 'i': -93}, {'q': 125, 'i': -173}, {'q': 80, 'i': -217}, {'q': 14, 'i': -213}, {'q': -56, 'i': -187}, {'q': -132, 'i': -147}, {'q': -175, 'i': -103}, {'q': -189, 'i': -33}, {'q': -174, 'i': 49}, {'q': -138, 'i': 146}, {'q': -85, 'i': 220}, {'q': -24, 'i': 244}, {'q': 56, 'i': 228}, {'q': 125, 'i': 185}, {'q': 172, 'i': 116}, {'q': 179, 'i': 39}, {'q': 147, 'i': -62}, {'q': 98, 'i': -147}, {'q': 34, 'i': -207}, {'q': -33, 'i': -212}]}}
[2021-03-16 10:58:45,874]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -65, 'antenna': 1, 'channel': 31, 'offset': 0, 'samplesLength': 82, 'samples': [{'q': 21, 'i': 32}, {'q': -50, 'i': -12}, {'q': -4, 'i': -46}, {'q': 43, 'i': 25}, {'q': 16, 'i': 40}, {'q': -40, 'i': -12}, {'q': -30, 'i': -43}, {'q': 6, 'i': 23}, {'q': 0, 'i': 3}, {'q': 49, 'i': -12}, {'q': -22, 'i': -3}, {'q': 41, 'i': 31}, {'q': -34, 'i': -20}, {'q': 60, 'i': -9}, {'q': -46, 'i': -37}, {'q': 39, 'i': -2}, {'q': -16, 'i': 0}, {'q': 13, 'i': 32}, {'q': -24, 'i': 6}, {'q': 57, 'i': 14}, {'q': -22, 'i': -20}, {'q': 4, 'i': 15}, {'q': 5, 'i': -14}, {'q': 69, 'i': 9}, {'q': -12, 'i': 25}, {'q': 19, 'i': 10}, {'q': -13, 'i': -21}, {'q': 20, 'i': 26}, {'q': -11, 'i': -33}, {'q': 16, 'i': 2}, {'q': -28, 'i': 5}, {'q': 19, 'i': -1}]}}
[2021-03-16 10:58:46,007]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 1, 'offset': 32, 'samplesLength': 512, 'samples': [{'q': -92, 'i': -179}, {'q': -146, 'i': -137}, {'q': -166, 'i': -125}, {'q': -151, 'i': -139}, {'q': -115, 'i': -152}, {'q': -81, 'i': -130}, {'q': -82, 'i': -59}, {'q': -110, 'i': 17}, {'q': -134, 'i': 70}, {'q': -122, 'i': 78}, {'q': -61, 'i': 62}, {'q': 14, 'i': 51}, {'q': 87, 'i': 55}, {'q': 123, 'i': 55}, {'q': 126, 'i': 33}, {'q': 111, 'i': -26}, {'q': 88, 'i': -90}, {'q': 50, 'i': -138}, {'q': 1, 'i': -126}, {'q': -66, 'i': -53}, {'q': -126, 'i': 50}, {'q': -145, 'i': 124}, {'q': -112, 'i': 163}, {'q': -48, 'i': 167}, {'q': 36, 'i': 148}, {'q': 98, 'i': 114}, {'q': 139, 'i': 55}, {'q': 154, 'i': -15}, {'q': 154, 'i': -98}, {'q': 140, 'i': -165}, {'q': 108, 'i': -204}, {'q': 42, 'i': -226}]}}
[2021-03-16 10:58:46,007]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 1, 'offset': 160, 'samplesLength': 512, 'samples': [{'q': -30, 'i': -165}, {'q': -110, 'i': -150}, {'q': -165, 'i': -91}, {'q': -170, 'i': -6}, {'q': -132, 'i': 95}, {'q': -73, 'i': 163}, {'q': 5, 'i': 203}, {'q': 78, 'i': 202}, {'q': 132, 'i': 178}, {'q': 171, 'i': 126}, {'q': 185, 'i': 60}, {'q': 177, 'i': -26}, {'q': 150, 'i': -104}, {'q': 102, 'i': -175}, {'q': 37, 'i': -208}, {'q': -28, 'i': -196}, {'q': -94, 'i': -147}, {'q': -121, 'i': -99}, {'q': -108, 'i': -70}, {'q': -67, 'i': -75}, {'q': -28, 'i': -93}, {'q': -34, 'i': -99}, {'q': -71, 'i': -89}, {'q': -118, 'i': -66}, {'q': -139, 'i': -39}, {'q': -125, 'i': -2}, {'q': -90, 'i': 33}, {'q': -42, 'i': 68}, {'q': -4, 'i': 87}, {'q': 28, 'i': 92}, {'q': 56, 'i': 76}, {'q': 88, 'i': 46}]}}
[2021-03-16 10:58:46,008]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 1, 'offset': 96, 'samplesLength': 512, 'samples': [{'q': 147, 'i': -59}, {'q': 103, 'i': -79}, {'q': 18, 'i': -72}, {'q': -69, 'i': -41}, {'q': -143, 'i': 20}, {'q': -165, 'i': 83}, {'q': -134, 'i': 148}, {'q': -74, 'i': 184}, {'q': 5, 'i': 192}, {'q': 78, 'i': 166}, {'q': 132, 'i': 117}, {'q': 176, 'i': 45}, {'q': 191, 'i': -23}, {'q': 177, 'i': -95}, {'q': 131, 'i': -148}, {'q': 51, 'i': -193}, {'q': -30, 'i': -216}, {'q': -110, 'i': -202}, {'q': -156, 'i': -137}, {'q': -161, 'i': -42}, {'q': -125, 'i': 82}, {'q': -70, 'i': 169}, {'q': 2, 'i': 213}, {'q': 62, 'i': 200}, {'q': 116, 'i': 144}, {'q': 152, 'i': 62}, {'q': 168, 'i': -17}, {'q': 168, 'i': -99}, {'q': 143, 'i': -152}, {'q': 80, 'i': -180}, {'q': -1, 'i': -178}, {'q': -102, 'i': -151}]}}
[2021-03-16 10:58:46,008]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 1, 'offset': 128, 'samplesLength': 512, 'samples': [{'q': -177, 'i': -114}, {'q': -200, 'i': -91}, {'q': -170, 'i': -89}, {'q': -117, 'i': -101}, {'q': -69, 'i': -110}, {'q': -62, 'i': -97}, {'q': -89, 'i': -62}, {'q': -119, 'i': -22}, {'q': -130, 'i': 26}, {'q': -114, 'i': 83}, {'q': -87, 'i': 133}, {'q': -54, 'i': 165}, {'q': -17, 'i': 156}, {'q': 33, 'i': 110}, {'q': 79, 'i': 56}, {'q': 108, 'i': -4}, {'q': 96, 'i': -60}, {'q': 51, 'i': -105}, {'q': -23, 'i': -133}, {'q': -88, 'i': -116}, {'q': -137, 'i': -40}, {'q': -149, 'i': 60}, {'q': -131, 'i': 164}, {'q': -88, 'i': 220}, {'q': -33, 'i': 213}, {'q': 47, 'i': 159}, {'q': 126, 'i': 95}, {'q': 202, 'i': 26}, {'q': 237, 'i': -26}, {'q': 225, 'i': -72}, {'q': 171, 'i': -108}, {'q': 76, 'i': -145}]}}
[2021-03-16 10:58:46,008]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 1, 'offset': 64, 'samplesLength': 512, 'samples': [{'q': -36, 'i': -222}, {'q': -116, 'i': -184}, {'q': -153, 'i': -108}, {'q': -150, 'i': 12}, {'q': -108, 'i': 135}, {'q': -58, 'i': 207}, {'q': 7, 'i': 222}, {'q': 73, 'i': 189}, {'q': 148, 'i': 120}, {'q': 199, 'i': 50}, {'q': 222, 'i': -29}, {'q': 201, 'i': -102}, {'q': 147, 'i': -152}, {'q': 61, 'i': -183}, {'q': -25, 'i': -177}, {'q': -111, 'i': -139}, {'q': -165, 'i': -89}, {'q': -188, 'i': -41}, {'q': -171, 'i': -32}, {'q': -123, 'i': -50}, {'q': -80, 'i': -61}, {'q': -69, 'i': -45}, {'q': -97, 'i': -8}, {'q': -130, 'i': 19}, {'q': -135, 'i': 30}, {'q': -97, 'i': 37}, {'q': -26, 'i': 63}, {'q': 37, 'i': 99}, {'q': 72, 'i': 111}, {'q': 97, 'i': 87}, {'q': 121, 'i': 37}, {'q': 146, 'i': -21}]}}
[2021-03-16 10:58:46,009]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -65, 'antenna': 1, 'channel': 31, 'offset': 64, 'samplesLength': 82, 'samples': [{'q': -4, 'i': -27}, {'q': 6, 'i': 25}, {'q': -6, 'i': -29}, {'q': 8, 'i': 25}, {'q': -7, 'i': -27}, {'q': 1, 'i': 27}, {'q': 0, 'i': -27}, {'q': -2, 'i': 26}, {'q': 1, 'i': -29}, {'q': -2, 'i': 27}, {'q': 2, 'i': -29}, {'q': -3, 'i': 28}, {'q': 1, 'i': -28}, {'q': -4, 'i': 27}, {'q': 1, 'i': -25}, {'q': -7, 'i': 27}, {'q': 0, 'i': -27}, {'q': -2, 'i': 26}]}}
[2021-03-16 10:58:46,009]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -65, 'antenna': 1, 'channel': 31, 'offset': 32, 'samplesLength': 82, 'samples': [{'q': -28, 'i': -46}, {'q': 48, 'i': 17}, {'q': -2, 'i': -3}, {'q': -3, 'i': 18}, {'q': 8, 'i': -9}, {'q': -6, 'i': 50}, {'q': -33, 'i': -5}, {'q': 1, 'i': 11}, {'q': -19, 'i': -17}, {'q': 31, 'i': 16}, {'q': -22, 'i': -15}, {'q': 32, 'i': 29}, {'q': -49, 'i': -30}, {'q': 6, 'i': 13}, {'q': -23, 'i': -15}, {'q': -18, 'i': -1}, {'q': -3, 'i': -46}, {'q': 15, 'i': 36}, {'q': -49, 'i': -19}, {'q': 30, 'i': 6}, {'q': -11, 'i': -30}, {'q': 12, 'i': 24}, {'q': -15, 'i': -25}, {'q': 17, 'i': 22}, {'q': -14, 'i': -24}, {'q': 13, 'i': 24}, {'q': -8, 'i': -24}, {'q': 7, 'i': 27}, {'q': -7, 'i': -26}, {'q': 8, 'i': 26}, {'q': -8, 'i': -27}, {'q': 6, 'i': 25}]}}
[2021-03-16 10:58:46,019]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 1, 'offset': 192, 'samplesLength': 512, 'samples': [{'q': 120, 'i': -6}, {'q': 120, 'i': -55}, {'q': 68, 'i': -91}, {'q': -26, 'i': -88}, {'q': -133, 'i': -41}, {'q': -192, 'i': 34}, {'q': -195, 'i': 105}, {'q': -155, 'i': 166}, {'q': -95, 'i': 192}, {'q': -9, 'i': 190}, {'q': 74, 'i': 169}, {'q': 150, 'i': 131}, {'q': 184, 'i': 72}, {'q': 177, 'i': -4}, {'q': 150, 'i': -105}, {'q': 121, 'i': -187}, {'q': 76, 'i': -240}, {'q': 17, 'i': -234}, {'q': -60, 'i': -171}, {'q': -117, 'i': -80}, {'q': -145, 'i': 38}, {'q': -132, 'i': 141}, {'q': -89, 'i': 199}, {'q': -15, 'i': 214}, {'q': 64, 'i': 190}, {'q': 146, 'i': 137}, {'q': 191, 'i': 75}, {'q': 205, 'i': -5}, {'q': 183, 'i': -85}, {'q': 142, 'i': -147}, {'q': 74, 'i': -193}, {'q': -3, 'i': -211}]}}
[2021-03-16 10:58:46,019]      root -     INFO - PASSIVE : 80:6F:B0:31:D9:95 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 1, 'offset': 384, 'samplesLength': 512, 'samples': [{'q': 72, 'i': 91}, {'q': 99, 'i': 39}, {'q': 79, 'i': -30}, {'q': 19, 'i': -92}, {'q': -74, 'i': -134}, {'q': -150, 'i': -124}, {'q': -203, 'i': -63}, {'q': -212, 'i': 16}, {'q': -184, 'i': 101}, {'q': -127, 'i': 158}, {'q': -61, 'i': 185}, {'q': 16, 'i': 189}, {'q': 79, 'i': 173}, {'q': 136, 'i': 130}, {'q': 172, 'i': 71}, {'q': 190, 'i': -12}, {'q': 176, 'i': -88}, {'q': 121, 'i': -154}, {'q': 28, 'i': -174}, {'q': -67, 'i': -144}, {'q': -156, 'i': -69}, {'q': -197, 'i': 13}, {'q': -195, 'i': 95}, {'q': -154, 'i': 148}, {'q': -83, 'i': 185}, {'q': -3, 'i': 200}, {'q': 65, 'i': 190}, {'q': 132, 'i': 149}, {'q': 176, 'i': 90}, {'q': 196, 'i': 9}, {'q': 185, 'i': -65}, {'q': 137, 'i': -135}]}}
