[2021-03-29 17:15:14,507]      root -     INFO - Setting nodes : 
[2021-03-29 17:15:14,509]      root -     INFO - Message receiver started
[2021-03-29 17:15:14,510]      root -     INFO - RTLS Manager started
[2021-03-29 17:15:16,515]      root -     INFO - Done setting node
[2021-03-29 17:15:16,522]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-29 17:15:16,522]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-29 17:15:16,632]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-29 17:15:16,633]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-29 17:15:16,643]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-29 17:15:16,704]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-29 17:15:16,744]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:15:16,822]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:16,823]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -69, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:15:18,821]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:18,854]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:15:18,946]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:18,948]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -68, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:15:20,957]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:20,970]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:15:21,073]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:21,200]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -69, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:15:23,068]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:23,110]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_CONNECT', 'payload': {'addrType': 0, 'peerAddr': '80:6F:B0:31:D7:F1', 'connInterval': 240}}
[2021-03-29 17:15:23,181]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_CONNECT', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:23,365]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 293069127, 'connInterval': 480, 'hopValue': 5, 'mSCA': 0, 'currChan': 5, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 10146010}}
[2021-03-29 17:15:23,367]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 293069127, 'connInterval': 480, 'hopValue': 5, 'mSCA': 0, 'currChan': 5, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 10146010, 'peerAddr': '80:6F:B0:31:D7:F1'}}
[2021-03-29 17:15:23,471]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:24,099]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:28,443]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:28,524]      root -     INFO - Connection process done
[2021-03-29 17:15:28,528]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-29 17:15:28,529]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-29 17:15:28,632]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': True, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': False, 'RTLS_PASSIVE': True}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:31:FB:AF'}}
[2021-03-29 17:15:28,634]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': False, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': True, 'RTLS_PASSIVE': False}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:EE:AC:E1'}}
[2021-03-29 17:15:28,747]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_PASSIVE', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [3, 4, 5]}}
[2021-03-29 17:15:28,751]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_MASTER', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [3, 4, 5]}}
[2021-03-29 17:15:28,849]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:28,867]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:28,979]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-29 17:15:28,982]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-29 17:15:28,982]      root -     INFO - AOA Started
[2021-03-29 17:15:29,079]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:29,096]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:15:30,035]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -74, 'antenna': 1, 'channel': 4, 'offset': 0, 'samplesLength': 512, 'samples': [{'q': 203, 'i': 148}, {'q': 244, 'i': 68}, {'q': 252, 'i': -30}, {'q': 220, 'i': -125}, {'q': 161, 'i': -194}, {'q': 66, 'i': -243}, {'q': -27, 'i': -255}, {'q': -124, 'i': -225}, {'q': -198, 'i': -159}, {'q': -238, 'i': -78}, {'q': -249, 'i': 25}, {'q': -228, 'i': 113}, {'q': -169, 'i': 196}, {'q': -75, 'i': 247}, {'q': 23, 'i': 257}, {'q': 128, 'i': 227}, {'q': 201, 'i': 169}, {'q': 249, 'i': 78}, {'q': 253, 'i': -25}, {'q': 229, 'i': -114}, {'q': 167, 'i': -196}, {'q': 90, 'i': -244}, {'q': -14, 'i': -261}, {'q': -118, 'i': -235}, {'q': -194, 'i': -178}, {'q': -245, 'i': -87}, {'q': -252, 'i': 6}, {'q': -226, 'i': 111}, {'q': -164, 'i': 200}, {'q': -84, 'i': 251}, {'q': 20, 'i': 269}, {'q': 111, 'i': 245}]}}
[2021-03-29 17:15:30,037]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -74, 'antenna': 1, 'channel': 4, 'offset': 64, 'samplesLength': 512, 'samples': [{'q': 187, 'i': 158}, {'q': 189, 'i': 67}, {'q': 142, 'i': -10}, {'q': 61, 'i': -73}, {'q': -13, 'i': -96}, {'q': -56, 'i': -87}, {'q': -82, 'i': -56}, {'q': -93, 'i': -21}, {'q': -96, 'i': 18}, {'q': -86, 'i': 53}, {'q': -63, 'i': 80}, {'q': -25, 'i': 100}, {'q': 14, 'i': 106}, {'q': 53, 'i': 93}, {'q': 79, 'i': 64}, {'q': 89, 'i': 32}, {'q': 88, 'i': -1}, {'q': 79, 'i': -15}, {'q': 68, 'i': -17}, {'q': 57, 'i': -15}, {'q': 49, 'i': -19}, {'q': 39, 'i': -32}, {'q': 26, 'i': -44}, {'q': 6, 'i': -48}, {'q': -18, 'i': -41}, {'q': -37, 'i': -30}, {'q': -51, 'i': -15}, {'q': -54, 'i': -1}, {'q': -50, 'i': 16}, {'q': -44, 'i': 33}, {'q': -36, 'i': 47}, {'q': -17, 'i': 58}]}}
[2021-03-29 17:15:30,040]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -74, 'antenna': 1, 'channel': 4, 'offset': 32, 'samplesLength': 512, 'samples': [{'q': 176, 'i': 183}, {'q': 184, 'i': 109}, {'q': 151, 'i': 50}, {'q': 93, 'i': 3}, {'q': 49, 'i': -22}, {'q': 23, 'i': -39}, {'q': 11, 'i': -48}, {'q': 1, 'i': -50}, {'q': -15, 'i': -47}, {'q': -30, 'i': -38}, {'q': -39, 'i': -21}, {'q': -38, 'i': 0}, {'q': -32, 'i': 19}, {'q': -23, 'i': 37}, {'q': -18, 'i': 48}, {'q': -4, 'i': 52}, {'q': 33, 'i': 44}, {'q': 86, 'i': 18}, {'q': 152, 'i': -38}, {'q': 188, 'i': -106}, {'q': 174, 'i': -183}, {'q': 98, 'i': -239}, {'q': 0, 'i': -253}, {'q': -113, 'i': -228}, {'q': -192, 'i': -172}, {'q': -247, 'i': -84}, {'q': -255, 'i': 21}, {'q': -229, 'i': 112}, {'q': -164, 'i': 196}, {'q': -81, 'i': 244}, {'q': 30, 'i': 255}, {'q': 131, 'i': 221}]}}
[2021-03-29 17:15:30,041]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -74, 'antenna': 1, 'channel': 4, 'offset': 96, 'samplesLength': 512, 'samples': [{'q': 22, 'i': 57}, {'q': 92, 'i': 37}, {'q': 168, 'i': -16}, {'q': 207, 'i': -83}, {'q': 190, 'i': -165}, {'q': 126, 'i': -225}, {'q': 21, 'i': -255}, {'q': -85, 'i': -239}, {'q': -164, 'i': -190}, {'q': -228, 'i': -108}, {'q': -256, 'i': -25}, {'q': -253, 'i': 67}, {'q': -211, 'i': 152}, {'q': -140, 'i': 214}, {'q': -37, 'i': 261}, {'q': 62, 'i': 264}, {'q': 143, 'i': 213}, {'q': 170, 'i': 120}, {'q': 145, 'i': 27}, {'q': 79, 'i': -58}, {'q': 16, 'i': -96}, {'q': -37, 'i': -97}, {'q': -70, 'i': -72}, {'q': -88, 'i': -43}, {'q': -99, 'i': -11}, {'q': -100, 'i': 18}, {'q': -86, 'i': 53}, {'q': -56, 'i': 84}, {'q': -17, 'i': 99}, {'q': 29, 'i': 95}, {'q': 65, 'i': 76}, {'q': 92, 'i': 44}]}}
[2021-03-29 17:15:30,044]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -74, 'antenna': 1, 'channel': 4, 'offset': 128, 'samplesLength': 512, 'samples': [{'q': 100, 'i': 16}, {'q': 94, 'i': 1}, {'q': 78, 'i': -4}, {'q': 63, 'i': -3}, {'q': 50, 'i': -6}, {'q': 37, 'i': -17}, {'q': 25, 'i': -30}, {'q': 8, 'i': -41}, {'q': -9, 'i': -43}, {'q': -26, 'i': -36}, {'q': -37, 'i': -23}, {'q': -41, 'i': -9}, {'q': -43, 'i': 9}, {'q': -41, 'i': 26}, {'q': -37, 'i': 42}, {'q': -20, 'i': 51}, {'q': 16, 'i': 50}, {'q': 85, 'i': 32}, {'q': 156, 'i': -1}, {'q': 215, 'i': -60}, {'q': 220, 'i': -134}, {'q': 169, 'i': -201}, {'q': 73, 'i': -254}, {'q': -25, 'i': -264}, {'q': -124, 'i': -228}, {'q': -202, 'i': -154}, {'q': -245, 'i': -68}, {'q': -255, 'i': 37}, {'q': -218, 'i': 136}, {'q': -147, 'i': 206}, {'q': -38, 'i': 250}, {'q': 64, 'i': 248}]}}
[2021-03-29 17:15:30,044]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -74, 'antenna': 1, 'channel': 4, 'offset': 160, 'samplesLength': 512, 'samples': [{'q': 150, 'i': 196}, {'q': 176, 'i': 104}, {'q': 146, 'i': 13}, {'q': 81, 'i': -67}, {'q': 21, 'i': -100}, {'q': -27, 'i': -100}, {'q': -60, 'i': -79}, {'q': -81, 'i': -54}, {'q': -96, 'i': -22}, {'q': -97, 'i': 8}, {'q': -84, 'i': 45}, {'q': -56, 'i': 75}, {'q': -24, 'i': 92}, {'q': 17, 'i': 93}, {'q': 51, 'i': 77}, {'q': 81, 'i': 46}, {'q': 95, 'i': 12}, {'q': 91, 'i': -6}, {'q': 77, 'i': -7}, {'q': 64, 'i': 0}, {'q': 52, 'i': 1}, {'q': 41, 'i': -10}, {'q': 28, 'i': -26}, {'q': 8, 'i': -41}, {'q': -12, 'i': -46}, {'q': -31, 'i': -40}, {'q': -42, 'i': -27}, {'q': -45, 'i': -13}, {'q': -42, 'i': 3}, {'q': -39, 'i': 15}, {'q': -35, 'i': 29}, {'q': -18, 'i': 45}]}}
[2021-03-29 17:15:30,045]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -81, 'antenna': 1, 'channel': 36, 'offset': 32, 'samplesLength': 82, 'samples': [{'q': -7, 'i': 51}, {'q': 9, 'i': -50}, {'q': 0, 'i': 53}, {'q': 2, 'i': -53}, {'q': 0, 'i': 54}, {'q': 3, 'i': -50}, {'q': -3, 'i': 44}, {'q': 1, 'i': -46}, {'q': 0, 'i': 56}, {'q': 2, 'i': -50}, {'q': 0, 'i': 55}, {'q': -7, 'i': -55}, {'q': 5, 'i': 56}, {'q': -8, 'i': -54}, {'q': 1, 'i': 56}, {'q': -5, 'i': -48}, {'q': 2, 'i': 44}, {'q': -11, 'i': -52}, {'q': 9, 'i': 55}, {'q': -8, 'i': -48}, {'q': 10, 'i': 50}, {'q': -11, 'i': -51}, {'q': 11, 'i': 48}, {'q': -20, 'i': -47}, {'q': 10, 'i': 44}, {'q': -17, 'i': -49}, {'q': 12, 'i': 46}, {'q': -5, 'i': -51}, {'q': 20, 'i': 45}, {'q': -15, 'i': -47}, {'q': 15, 'i': 53}, {'q': -13, 'i': -35}]}}
[2021-03-29 17:15:30,047]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -81, 'antenna': 1, 'channel': 36, 'offset': 0, 'samplesLength': 82, 'samples': [{'q': 18, 'i': 48}, {'q': -7, 'i': 40}, {'q': -23, 'i': -52}, {'q': 17, 'i': -74}, {'q': 64, 'i': -5}, {'q': -15, 'i': 74}, {'q': -7, 'i': -23}, {'q': 46, 'i': -32}, {'q': 11, 'i': 97}, {'q': 8, 'i': -51}, {'q': -2, 'i': 40}, {'q': 29, 'i': -40}, {'q': -22, 'i': 50}, {'q': 11, 'i': -52}, {'q': -15, 'i': 43}, {'q': 14, 'i': -54}, {'q': -14, 'i': 43}, {'q': 13, 'i': -47}, {'q': -8, 'i': 52}, {'q': 19, 'i': -48}, {'q': -16, 'i': 51}, {'q': 12, 'i': -47}, {'q': -6, 'i': 53}, {'q': 9, 'i': -50}, {'q': -3, 'i': 53}, {'q': 3, 'i': -48}, {'q': -4, 'i': 51}, {'q': 11, 'i': -52}, {'q': -6, 'i': 53}, {'q': 11, 'i': -54}, {'q': -4, 'i': 51}, {'q': 6, 'i': -53}]}}
[2021-03-29 17:15:30,048]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -81, 'antenna': 1, 'channel': 36, 'offset': 64, 'samplesLength': 82, 'samples': [{'q': 20, 'i': 54}, {'q': -15, 'i': -42}, {'q': 21, 'i': 52}, {'q': -25, 'i': -43}, {'q': 21, 'i': 47}, {'q': -25, 'i': -48}, {'q': 27, 'i': 44}, {'q': -25, 'i': -48}, {'q': 25, 'i': 49}, {'q': -25, 'i': -42}, {'q': 22, 'i': 42}, {'q': -26, 'i': -42}, {'q': 31, 'i': 42}, {'q': -34, 'i': -40}, {'q': 29, 'i': 43}, {'q': -28, 'i': -38}, {'q': 29, 'i': 42}, {'q': -29, 'i': -42}]}}
[2021-03-29 17:15:30,133]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -74, 'antenna': 1, 'channel': 4, 'offset': 192, 'samplesLength': 512, 'samples': [{'q': 20, 'i': 55}, {'q': 91, 'i': 52}, {'q': 161, 'i': 23}, {'q': 216, 'i': -41}, {'q': 215, 'i': -124}, {'q': 167, 'i': -194}, {'q': 77, 'i': -245}, {'q': -16, 'i': -253}, {'q': -116, 'i': -222}, {'q': -197, 'i': -153}, {'q': -245, 'i': -74}, {'q': -262, 'i': 21}, {'q': -241, 'i': 103}, {'q': -173, 'i': 183}, {'q': -73, 'i': 241}, {'q': 26, 'i': 260}, {'q': 114, 'i': 231}, {'q': 148, 'i': 160}, {'q': 131, 'i': 52}, {'q': 76, 'i': -49}, {'q': 20, 'i': -103}, {'q': -30, 'i': -117}, {'q': -59, 'i': -98}, {'q': -78, 'i': -59}, {'q': -89, 'i': -16}, {'q': -90, 'i': 20}, {'q': -79, 'i': 55}, {'q': -57, 'i': 81}, {'q': -18, 'i': 99}, {'q': 28, 'i': 98}, {'q': 65, 'i': 82}, {'q': 90, 'i': 50}]}}
[2021-03-29 17:15:30,154]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -74, 'antenna': 1, 'channel': 4, 'offset': 320, 'samplesLength': 512, 'samples': [{'q': 71, 'i': 52}, {'q': 76, 'i': 29}, {'q': 69, 'i': 17}, {'q': 56, 'i': 10}, {'q': 48, 'i': 2}, {'q': 42, 'i': -12}, {'q': 35, 'i': -28}, {'q': 24, 'i': -40}, {'q': 7, 'i': -47}, {'q': -11, 'i': -48}, {'q': -27, 'i': -41}, {'q': -36, 'i': -26}, {'q': -39, 'i': -9}, {'q': -42, 'i': 9}, {'q': -44, 'i': 22}, {'q': -39, 'i': 35}, {'q': -6, 'i': 51}, {'q': 58, 'i': 59}, {'q': 154, 'i': 45}, {'q': 225, 'i': 5}, {'q': 252, 'i': -69}, {'q': 213, 'i': -154}, {'q': 134, 'i': -216}, {'q': 23, 'i': -251}, {'q': -75, 'i': -246}, {'q': -166, 'i': -201}, {'q': -229, 'i': -125}, {'q': -256, 'i': -40}, {'q': -251, 'i': 61}, {'q': -210, 'i': 145}, {'q': -126, 'i': 221}, {'q': -19, 'i': 255}]}}
