[2021-03-29 17:17:14,538]      root -     INFO - Setting nodes : 
[2021-03-29 17:17:14,540]      root -     INFO - Message receiver started
[2021-03-29 17:17:14,542]      root -     INFO - RTLS Manager started
[2021-03-29 17:17:16,554]      root -     INFO - Done setting node
[2021-03-29 17:17:16,563]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-29 17:17:16,565]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-29 17:17:16,677]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-29 17:17:16,678]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-29 17:17:16,685]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-29 17:17:16,737]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-29 17:17:16,783]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:17:16,847]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:16,912]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -72, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:17:18,856]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:18,947]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:17:19,036]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:19,094]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -72, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:17:21,017]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:21,042]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:17:21,145]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:21,210]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -83, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:17:23,128]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:23,195]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_CONNECT', 'payload': {'addrType': 0, 'peerAddr': '80:6F:B0:31:D7:F1', 'connInterval': 240}}
[2021-03-29 17:17:23,296]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_CONNECT', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:23,411]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 1262990956, 'connInterval': 480, 'hopValue': 16, 'mSCA': 0, 'currChan': 16, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 8193185}}
[2021-03-29 17:17:23,413]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 1262990956, 'connInterval': 480, 'hopValue': 16, 'mSCA': 0, 'currChan': 16, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 8193185, 'peerAddr': '80:6F:B0:31:D7:F1'}}
[2021-03-29 17:17:23,529]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:24,150]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:28,223]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:28,329]      root -     INFO - Connection process done
[2021-03-29 17:17:28,332]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-29 17:17:28,333]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-29 17:17:28,395]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': False, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': True, 'RTLS_PASSIVE': False}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:EE:AC:E1'}}
[2021-03-29 17:17:28,444]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': True, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': False, 'RTLS_PASSIVE': True}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:31:FB:AF'}}
[2021-03-29 17:17:28,550]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_PASSIVE', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [3, 4, 5]}}
[2021-03-29 17:17:28,554]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_MASTER', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [3, 4, 5]}}
[2021-03-29 17:17:28,617]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:28,663]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:28,771]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-29 17:17:28,773]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-29 17:17:28,775]      root -     INFO - AOA Started
[2021-03-29 17:17:28,835]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:28,863]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:17:30,041]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -72, 'antenna': 1, 'channel': 19, 'offset': 0, 'samplesLength': 82, 'samples': [{'q': 69, 'i': -48}, {'q': 46, 'i': 75}, {'q': -73, 'i': 42}, {'q': -53, 'i': -69}, {'q': 63, 'i': -46}, {'q': 54, 'i': 64}, {'q': -63, 'i': 54}, {'q': -46, 'i': -60}, {'q': 53, 'i': 51}, {'q': -57, 'i': -43}, {'q': 62, 'i': 50}, {'q': -66, 'i': -47}, {'q': 66, 'i': 54}, {'q': -78, 'i': -37}, {'q': 68, 'i': 34}, {'q': -76, 'i': -22}, {'q': 80, 'i': 25}, {'q': -84, 'i': -15}, {'q': 82, 'i': 21}, {'q': -81, 'i': -12}, {'q': 85, 'i': 3}, {'q': -86, 'i': 3}, {'q': 84, 'i': -7}, {'q': -84, 'i': 8}, {'q': 89, 'i': -14}, {'q': -80, 'i': 21}, {'q': 79, 'i': -27}, {'q': -83, 'i': 25}, {'q': 71, 'i': -32}, {'q': -80, 'i': 34}, {'q': 73, 'i': -53}, {'q': -69, 'i': 55}]}}
[2021-03-29 17:17:30,087]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -83, 'antenna': 1, 'channel': 35, 'offset': 0, 'samplesLength': 512, 'samples': [{'q': 51, 'i': 92}, {'q': 71, 'i': 63}, {'q': 84, 'i': 21}, {'q': 86, 'i': -15}, {'q': 79, 'i': -49}, {'q': 63, 'i': -72}, {'q': 34, 'i': -88}, {'q': 2, 'i': -94}, {'q': -38, 'i': -86}, {'q': -68, 'i': -69}, {'q': -90, 'i': -40}, {'q': -96, 'i': -9}, {'q': -89, 'i': 28}, {'q': -70, 'i': 57}, {'q': -40, 'i': 78}, {'q': 1, 'i': 88}, {'q': 38, 'i': 84}, {'q': 73, 'i': 66}, {'q': 91, 'i': 42}, {'q': 98, 'i': 7}, {'q': 92, 'i': -25}, {'q': 75, 'i': -59}, {'q': 50, 'i': -82}, {'q': 12, 'i': -93}, {'q': -25, 'i': -90}, {'q': -62, 'i': -71}, {'q': -84, 'i': -44}, {'q': -97, 'i': -7}, {'q': -94, 'i': 27}, {'q': -75, 'i': 59}, {'q': -41, 'i': 79}, {'q': 3, 'i': 89}]}}
[2021-03-29 17:17:30,113]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -83, 'antenna': 1, 'channel': 35, 'offset': 32, 'samplesLength': 512, 'samples': [{'q': 27, 'i': 86}, {'q': 20, 'i': 77}, {'q': -19, 'i': 72}, {'q': -62, 'i': 79}, {'q': -70, 'i': 92}, {'q': -36, 'i': 106}, {'q': 15, 'i': 111}, {'q': 71, 'i': 101}, {'q': 107, 'i': 76}, {'q': 127, 'i': 32}, {'q': 128, 'i': -16}, {'q': 114, 'i': -63}, {'q': 79, 'i': -105}, {'q': 34, 'i': -126}, {'q': -26, 'i': -130}, {'q': -75, 'i': -115}, {'q': -101, 'i': -82}, {'q': -83, 'i': -46}, {'q': -23, 'i': -12}, {'q': 43, 'i': -2}, {'q': 90, 'i': -18}, {'q': 95, 'i': -47}, {'q': 67, 'i': -78}, {'q': 30, 'i': -93}, {'q': -12, 'i': -95}, {'q': -46, 'i': -84}, {'q': -77, 'i': -61}, {'q': -95, 'i': -34}, {'q': -100, 'i': 2}, {'q': -90, 'i': 37}, {'q': -69, 'i': 75}, {'q': -42, 'i': 98}]}}
[2021-03-29 17:17:30,134]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -83, 'antenna': 1, 'channel': 35, 'offset': 160, 'samplesLength': 512, 'samples': [{'q': -67, 'i': 68}, {'q': -12, 'i': 73}, {'q': 63, 'i': 53}, {'q': 121, 'i': 15}, {'q': 153, 'i': -42}, {'q': 139, 'i': -93}, {'q': 88, 'i': -138}, {'q': 27, 'i': -158}, {'q': -38, 'i': -153}, {'q': -88, 'i': -129}, {'q': -128, 'i': -84}, {'q': -150, 'i': -37}, {'q': -154, 'i': 21}, {'q': -135, 'i': 71}, {'q': -86, 'i': 121}, {'q': -32, 'i': 147}, {'q': 14, 'i': 141}, {'q': 20, 'i': 100}, {'q': -14, 'i': 33}, {'q': -64, 'i': -17}, {'q': -113, 'i': -32}, {'q': -134, 'i': -2}, {'q': -130, 'i': 55}, {'q': -105, 'i': 102}, {'q': -59, 'i': 130}, {'q': -7, 'i': 135}, {'q': 47, 'i': 124}, {'q': 95, 'i': 98}, {'q': 120, 'i': 63}, {'q': 126, 'i': 9}, {'q': 115, 'i': -46}, {'q': 85, 'i': -100}]}}
[2021-03-29 17:17:30,135]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -83, 'antenna': 1, 'channel': 35, 'offset': 64, 'samplesLength': 512, 'samples': [{'q': -4, 'i': 98}, {'q': 35, 'i': 62}, {'q': 73, 'i': -9}, {'q': 86, 'i': -83}, {'q': 67, 'i': -142}, {'q': 24, 'i': -163}, {'q': -37, 'i': -152}, {'q': -89, 'i': -123}, {'q': -128, 'i': -81}, {'q': -151, 'i': -23}, {'q': -152, 'i': 31}, {'q': -132, 'i': 88}, {'q': -95, 'i': 128}, {'q': -33, 'i': 155}, {'q': 32, 'i': 155}, {'q': 98, 'i': 129}, {'q': 123, 'i': 89}, {'q': 94, 'i': 43}, {'q': 22, 'i': 20}, {'q': -67, 'i': 24}, {'q': -108, 'i': 50}, {'q': -92, 'i': 90}, {'q': -43, 'i': 118}, {'q': 21, 'i': 130}, {'q': 70, 'i': 120}, {'q': 109, 'i': 87}, {'q': 131, 'i': 46}, {'q': 137, 'i': -4}, {'q': 124, 'i': -49}, {'q': 87, 'i': -94}, {'q': 40, 'i': -123}, {'q': -16, 'i': -134}]}}
[2021-03-29 17:17:30,137]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -83, 'antenna': 1, 'channel': 35, 'offset': 128, 'samplesLength': 512, 'samples': [{'q': 77, 'i': 124}, {'q': 68, 'i': 82}, {'q': 14, 'i': 41}, {'q': -68, 'i': 13}, {'q': -117, 'i': 16}, {'q': -125, 'i': 49}, {'q': -92, 'i': 91}, {'q': -39, 'i': 130}, {'q': 7, 'i': 145}, {'q': 56, 'i': 130}, {'q': 95, 'i': 94}, {'q': 126, 'i': 40}, {'q': 133, 'i': -12}, {'q': 114, 'i': -67}, {'q': 75, 'i': -107}, {'q': 20, 'i': -134}, {'q': -19, 'i': -130}, {'q': -35, 'i': -89}, {'q': -17, 'i': -29}, {'q': 26, 'i': 34}, {'q': 62, 'i': 61}, {'q': 88, 'i': 47}, {'q': 93, 'i': 5}, {'q': 84, 'i': -46}, {'q': 68, 'i': -79}, {'q': 38, 'i': -95}, {'q': 3, 'i': -95}, {'q': -39, 'i': -81}, {'q': -72, 'i': -59}, {'q': -95, 'i': -30}, {'q': -107, 'i': 9}, {'q': -100, 'i': 42}]}}
[2021-03-29 17:17:30,139]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -83, 'antenna': 1, 'channel': 35, 'offset': 288, 'samplesLength': 512, 'samples': [{'q': 115, 'i': -56}, {'q': 77, 'i': -59}, {'q': 27, 'i': -22}, {'q': -5, 'i': 31}, {'q': -13, 'i': 80}, {'q': 6, 'i': 97}, {'q': 42, 'i': 86}, {'q': 73, 'i': 59}, {'q': 95, 'i': 20}, {'q': 99, 'i': -14}, {'q': 90, 'i': -48}, {'q': 72, 'i': -73}, {'q': 43, 'i': -92}, {'q': 10, 'i': -102}, {'q': -28, 'i': -101}, {'q': -66, 'i': -82}, {'q': -86, 'i': -44}, {'q': -74, 'i': 18}, {'q': -35, 'i': 75}, {'q': 30, 'i': 117}, {'q': 87, 'i': 118}, {'q': 133, 'i': 78}, {'q': 151, 'i': 20}, {'q': 146, 'i': -48}, {'q': 120, 'i': -96}, {'q': 70, 'i': -133}, {'q': 13, 'i': -151}, {'q': -50, 'i': -154}, {'q': -97, 'i': -135}, {'q': -132, 'i': -84}, {'q': -149, 'i': -21}, {'q': -145, 'i': 48}]}}
[2021-03-29 17:17:30,140]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -83, 'antenna': 1, 'channel': 35, 'offset': 384, 'samplesLength': 512, 'samples': [{'q': 130, 'i': 40}, {'q': 89, 'i': 13}, {'q': 25, 'i': 5}, {'q': -44, 'i': 17}, {'q': -75, 'i': 39}, {'q': -67, 'i': 64}, {'q': -27, 'i': 84}, {'q': 14, 'i': 89}, {'q': 52, 'i': 79}, {'q': 73, 'i': 59}, {'q': 87, 'i': 28}, {'q': 89, 'i': -3}, {'q': 79, 'i': -41}, {'q': 58, 'i': -73}, {'q': 23, 'i': -102}, {'q': -15, 'i': -110}, {'q': -55, 'i': -85}, {'q': -80, 'i': -33}, {'q': -80, 'i': 47}, {'q': -53, 'i': 111}, {'q': 1, 'i': 151}, {'q': 56, 'i': 150}, {'q': 109, 'i': 114}, {'q': 138, 'i': 65}, {'q': 148, 'i': 5}, {'q': 138, 'i': -45}, {'q': 109, 'i': -94}, {'q': 70, 'i': -128}, {'q': 17, 'i': -151}, {'q': -38, 'i': -150}, {'q': -102, 'i': -122}, {'q': -145, 'i': -74}]}}
[2021-03-29 17:17:30,141]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -72, 'antenna': 1, 'channel': 19, 'offset': 32, 'samplesLength': 82, 'samples': [{'q': 63, 'i': -55}, {'q': -54, 'i': 61}, {'q': 50, 'i': -42}, {'q': -71, 'i': 51}, {'q': 49, 'i': -66}, {'q': -46, 'i': 66}, {'q': 48, 'i': -65}, {'q': -31, 'i': 80}, {'q': 41, 'i': -73}, {'q': -30, 'i': 80}, {'q': 22, 'i': -74}, {'q': -13, 'i': 76}, {'q': 17, 'i': -78}, {'q': -7, 'i': 87}, {'q': 11, 'i': -78}, {'q': -9, 'i': 82}, {'q': -1, 'i': -85}, {'q': 4, 'i': 85}, {'q': 1, 'i': -71}, {'q': 23, 'i': 81}, {'q': -23, 'i': -82}, {'q': 24, 'i': 76}, {'q': -25, 'i': -78}, {'q': 51, 'i': 74}, {'q': -30, 'i': -73}, {'q': 56, 'i': 73}, {'q': -65, 'i': -61}, {'q': 52, 'i': 67}, {'q': -62, 'i': -54}, {'q': 55, 'i': 49}, {'q': -71, 'i': -50}, {'q': 69, 'i': 47}]}}
[2021-03-29 17:17:30,142]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -72, 'antenna': 1, 'channel': 19, 'offset': 64, 'samplesLength': 82, 'samples': [{'q': -74, 'i': -38}, {'q': 71, 'i': 36}, {'q': -77, 'i': -33}, {'q': 76, 'i': 32}, {'q': -92, 'i': -25}, {'q': 79, 'i': 19}, {'q': -84, 'i': -18}, {'q': 83, 'i': 16}, {'q': -85, 'i': -3}, {'q': 90, 'i': -7}, {'q': -89, 'i': 9}, {'q': 82, 'i': -17}, {'q': -85, 'i': 7}, {'q': 82, 'i': -15}, {'q': -83, 'i': 22}, {'q': 76, 'i': -40}, {'q': -69, 'i': 52}, {'q': 65, 'i': -48}]}}
[2021-03-29 17:17:30,148]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -83, 'antenna': 1, 'channel': 35, 'offset': 352, 'samplesLength': 512, 'samples': [{'q': -74, 'i': -54}, {'q': -79, 'i': 0}, {'q': -54, 'i': 73}, {'q': -10, 'i': 126}, {'q': 52, 'i': 149}, {'q': 105, 'i': 131}, {'q': 148, 'i': 81}, {'q': 162, 'i': 26}, {'q': 153, 'i': -30}, {'q': 117, 'i': -86}, {'q': 69, 'i': -127}, {'q': 4, 'i': -156}, {'q': -54, 'i': -154}, {'q': -112, 'i': -116}, {'q': -149, 'i': -53}, {'q': -161, 'i': 22}, {'q': -141, 'i': 67}, {'q': -86, 'i': 60}, {'q': -29, 'i': 10}, {'q': 13, 'i': -67}, {'q': 12, 'i': -121}, {'q': -28, 'i': -137}, {'q': -77, 'i': -117}, {'q': -122, 'i': -71}, {'q': -139, 'i': -23}, {'q': -136, 'i': 31}, {'q': -116, 'i': 77}, {'q': -79, 'i': 120}, {'q': -35, 'i': 141}, {'q': 25, 'i': 138}, {'q': 81, 'i': 114}, {'q': 124, 'i': 74}]}}
