[2021-03-29 17:25:11,673]      root -     INFO - Setting nodes : 
[2021-03-29 17:25:11,691]      root -     INFO - Message receiver started
[2021-03-29 17:25:11,698]      root -     INFO - RTLS Manager started
[2021-03-29 17:25:13,709]      root -     INFO - Done setting node
[2021-03-29 17:25:13,714]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-29 17:25:13,715]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-29 17:25:13,797]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-29 17:25:13,801]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-29 17:25:13,808]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-29 17:25:13,861]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-29 17:25:13,919]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:25:14,026]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:14,090]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -72, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:25:16,039]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:16,139]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:25:16,264]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:16,318]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -74, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:25:18,275]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:18,369]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:25:18,447]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:18,509]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -69, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:25:20,447]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:20,561]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_CONNECT', 'payload': {'addrType': 0, 'peerAddr': '80:6F:B0:31:D7:F1', 'connInterval': 240}}
[2021-03-29 17:25:20,672]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_CONNECT', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:20,739]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 609559525, 'connInterval': 480, 'hopValue': 8, 'mSCA': 0, 'currChan': 8, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 15147335}}
[2021-03-29 17:25:20,741]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 609559525, 'connInterval': 480, 'hopValue': 8, 'mSCA': 0, 'currChan': 8, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 15147335, 'peerAddr': '80:6F:B0:31:D7:F1'}}
[2021-03-29 17:25:20,864]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:21,478]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:25,211]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:25,288]      root -     INFO - Connection process done
[2021-03-29 17:25:25,292]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-29 17:25:25,293]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-29 17:25:25,385]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': True, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': False, 'RTLS_PASSIVE': True}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:31:FB:AF'}}
[2021-03-29 17:25:25,388]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': False, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': True, 'RTLS_PASSIVE': False}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:EE:AC:E1'}}
[2021-03-29 17:25:25,407]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_PASSIVE', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [3, 4, 5]}}
[2021-03-29 17:25:25,409]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_MASTER', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [3, 4, 5]}}
[2021-03-29 17:25:25,507]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:25,508]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:25,525]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-29 17:25:25,526]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-29 17:25:25,526]      root -     INFO - AOA Started
[2021-03-29 17:25:25,627]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:25,628]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:25:26,719]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -78, 'antenna': 1, 'channel': 20, 'offset': 0, 'samplesLength': 512, 'samples': [{'q': -161, 'i': -35}, {'q': -165, 'i': 22}, {'q': -147, 'i': 80}, {'q': -111, 'i': 120}, {'q': -52, 'i': 146}, {'q': 10, 'i': 149}, {'q': 83, 'i': 125}, {'q': 135, 'i': 84}, {'q': 163, 'i': 30}, {'q': 159, 'i': -35}, {'q': 129, 'i': -89}, {'q': 74, 'i': -137}, {'q': 16, 'i': -161}, {'q': -49, 'i': -164}, {'q': -101, 'i': -141}, {'q': -138, 'i': -95}, {'q': -158, 'i': -27}, {'q': -153, 'i': 39}, {'q': -124, 'i': 103}, {'q': -81, 'i': 141}, {'q': -19, 'i': 157}, {'q': 40, 'i': 148}, {'q': 94, 'i': 121}, {'q': 136, 'i': 71}, {'q': 153, 'i': 17}, {'q': 149, 'i': -50}, {'q': 126, 'i': -104}, {'q': 80, 'i': -146}, {'q': 26, 'i': -160}, {'q': -42, 'i': -152}, {'q': -99, 'i': -123}, {'q': -143, 'i': -79}]}}
[2021-03-29 17:25:26,782]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -78, 'antenna': 1, 'channel': 20, 'offset': 32, 'samplesLength': 512, 'samples': [{'q': -164, 'i': -19}, {'q': -148, 'i': 34}, {'q': -96, 'i': 80}, {'q': -33, 'i': 101}, {'q': 36, 'i': 99}, {'q': 78, 'i': 77}, {'q': 101, 'i': 43}, {'q': 110, 'i': 3}, {'q': 104, 'i': -31}, {'q': 82, 'i': -64}, {'q': 51, 'i': -88}, {'q': 9, 'i': -102}, {'q': -30, 'i': -100}, {'q': -65, 'i': -80}, {'q': -94, 'i': -39}, {'q': -108, 'i': 5}, {'q': -107, 'i': 53}, {'q': -96, 'i': 92}, {'q': -75, 'i': 127}, {'q': -45, 'i': 147}, {'q': -2, 'i': 155}, {'q': 58, 'i': 148}, {'q': 109, 'i': 125}, {'q': 149, 'i': 79}, {'q': 161, 'i': 24}, {'q': 150, 'i': -45}, {'q': 120, 'i': -102}, {'q': 67, 'i': -145}, {'q': 8, 'i': -161}, {'q': -53, 'i': -154}, {'q': -112, 'i': -118}, {'q': -149, 'i': -70}]}}
[2021-03-29 17:25:26,804]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -78, 'antenna': 1, 'channel': 20, 'offset': 64, 'samplesLength': 512, 'samples': [{'q': -166, 'i': -8}, {'q': -156, 'i': 41}, {'q': -118, 'i': 81}, {'q': -70, 'i': 98}, {'q': -19, 'i': 100}, {'q': 30, 'i': 88}, {'q': 62, 'i': 68}, {'q': 86, 'i': 40}, {'q': 98, 'i': 8}, {'q': 97, 'i': -30}, {'q': 81, 'i': -63}, {'q': 52, 'i': -88}, {'q': 8, 'i': -105}, {'q': -33, 'i': -105}, {'q': -69, 'i': -86}, {'q': -89, 'i': -55}, {'q': -96, 'i': -7}, {'q': -86, 'i': 39}, {'q': -56, 'i': 81}, {'q': -15, 'i': 101}, {'q': 33, 'i': 98}, {'q': 77, 'i': 72}, {'q': 99, 'i': 36}, {'q': 102, 'i': -9}, {'q': 89, 'i': -46}, {'q': 60, 'i': -80}, {'q': 27, 'i': -97}, {'q': -11, 'i': -100}, {'q': -50, 'i': -88}, {'q': -73, 'i': -64}, {'q': -86, 'i': -30}, {'q': -88, 'i': 3}]}}
[2021-03-29 17:25:26,806]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -78, 'antenna': 1, 'channel': 20, 'offset': 96, 'samplesLength': 512, 'samples': [{'q': -90, 'i': 44}, {'q': -91, 'i': 83}, {'q': -85, 'i': 124}, {'q': -57, 'i': 161}, {'q': -12, 'i': 176}, {'q': 50, 'i': 162}, {'q': 102, 'i': 124}, {'q': 142, 'i': 61}, {'q': 155, 'i': 0}, {'q': 145, 'i': -58}, {'q': 110, 'i': -110}, {'q': 64, 'i': -140}, {'q': 3, 'i': -155}, {'q': -55, 'i': -146}, {'q': -114, 'i': -115}, {'q': -152, 'i': -68}, {'q': -169, 'i': -6}, {'q': -152, 'i': 46}, {'q': -110, 'i': 82}, {'q': -51, 'i': 100}, {'q': -3, 'i': 101}, {'q': 38, 'i': 89}, {'q': 65, 'i': 69}, {'q': 84, 'i': 40}, {'q': 91, 'i': 9}, {'q': 86, 'i': -25}, {'q': 65, 'i': -62}, {'q': 39, 'i': -87}, {'q': 8, 'i': -102}, {'q': -19, 'i': -102}, {'q': -50, 'i': -87}, {'q': -72, 'i': -59}]}}
[2021-03-29 17:25:26,810]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -78, 'antenna': 1, 'channel': 20, 'offset': 128, 'samplesLength': 512, 'samples': [{'q': -85, 'i': -20}, {'q': -83, 'i': 30}, {'q': -59, 'i': 70}, {'q': -14, 'i': 98}, {'q': 33, 'i': 100}, {'q': 77, 'i': 80}, {'q': 100, 'i': 48}, {'q': 101, 'i': 2}, {'q': 84, 'i': -42}, {'q': 56, 'i': -81}, {'q': 16, 'i': -108}, {'q': -19, 'i': -112}, {'q': -52, 'i': -94}, {'q': -72, 'i': -68}, {'q': -83, 'i': -32}, {'q': -87, 'i': 4}, {'q': -90, 'i': 43}, {'q': -88, 'i': 91}, {'q': -75, 'i': 130}, {'q': -43, 'i': 163}, {'q': 2, 'i': 172}, {'q': 60, 'i': 157}, {'q': 107, 'i': 120}, {'q': 139, 'i': 68}, {'q': 150, 'i': -2}, {'q': 140, 'i': -64}, {'q': 104, 'i': -121}, {'q': 59, 'i': -154}, {'q': -2, 'i': -162}, {'q': -57, 'i': -149}, {'q': -113, 'i': -112}, {'q': -147, 'i': -67}]}}
[2021-03-29 17:25:26,819]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -69, 'antenna': 1, 'channel': 12, 'offset': 64, 'samplesLength': 82, 'samples': [{'q': -109, 'i': 44}, {'q': 108, 'i': -43}, {'q': -116, 'i': 34}, {'q': 114, 'i': -35}, {'q': -108, 'i': 38}, {'q': 117, 'i': -26}, {'q': -112, 'i': 31}, {'q': 114, 'i': -24}, {'q': -112, 'i': 33}, {'q': 114, 'i': -28}, {'q': -112, 'i': 26}, {'q': 114, 'i': -21}, {'q': -112, 'i': 22}, {'q': 114, 'i': -23}, {'q': -113, 'i': 30}, {'q': 112, 'i': -20}, {'q': -116, 'i': 22}, {'q': 116, 'i': -26}]}}
[2021-03-29 17:25:26,820]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -78, 'antenna': 1, 'channel': 20, 'offset': 160, 'samplesLength': 512, 'samples': [{'q': -160, 'i': -16}, {'q': -146, 'i': 39}, {'q': -111, 'i': 74}, {'q': -57, 'i': 94}, {'q': -9, 'i': 96}, {'q': 38, 'i': 87}, {'q': 68, 'i': 71}, {'q': 89, 'i': 48}, {'q': 96, 'i': 13}, {'q': 89, 'i': -25}, {'q': 66, 'i': -66}, {'q': 39, 'i': -90}, {'q': 5, 'i': -96}, {'q': -25, 'i': -84}, {'q': -55, 'i': -61}, {'q': -81, 'i': -32}, {'q': -93, 'i': -3}, {'q': -82, 'i': 36}, {'q': -51, 'i': 72}, {'q': -4, 'i': 103}, {'q': 37, 'i': 108}, {'q': 68, 'i': 89}, {'q': 91, 'i': 48}, {'q': 99, 'i': 6}, {'q': 93, 'i': -35}, {'q': 71, 'i': -65}, {'q': 31, 'i': -92}, {'q': -10, 'i': -103}, {'q': -49, 'i': -93}, {'q': -71, 'i': -69}, {'q': -82, 'i': -34}, {'q': -86, 'i': 10}]}}
[2021-03-29 17:25:26,824]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -78, 'antenna': 1, 'channel': 20, 'offset': 192, 'samplesLength': 512, 'samples': [{'q': -86, 'i': 48}, {'q': -82, 'i': 91}, {'q': -71, 'i': 125}, {'q': -41, 'i': 151}, {'q': 1, 'i': 157}, {'q': 52, 'i': 146}, {'q': 107, 'i': 113}, {'q': 141, 'i': 67}, {'q': 155, 'i': 2}, {'q': 145, 'i': -58}, {'q': 110, 'i': -116}, {'q': 65, 'i': -150}, {'q': 11, 'i': -163}, {'q': -52, 'i': -152}, {'q': -104, 'i': -117}, {'q': -144, 'i': -56}, {'q': -159, 'i': 4}, {'q': -145, 'i': 59}, {'q': -112, 'i': 91}, {'q': -62, 'i': 105}, {'q': -15, 'i': 104}, {'q': 27, 'i': 94}, {'q': 62, 'i': 72}, {'q': 83, 'i': 42}, {'q': 91, 'i': 0}, {'q': 86, 'i': -36}, {'q': 65, 'i': -70}, {'q': 36, 'i': -89}, {'q': 1, 'i': -98}, {'q': -39, 'i': -94}, {'q': -70, 'i': -76}, {'q': -95, 'i': -43}]}}
[2021-03-29 17:25:26,826]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -69, 'antenna': 1, 'channel': 12, 'offset': 32, 'samplesLength': 82, 'samples': [{'q': -89, 'i': 74}, {'q': 93, 'i': -69}, {'q': -88, 'i': 81}, {'q': 84, 'i': -78}, {'q': -90, 'i': 79}, {'q': 91, 'i': -68}, {'q': -97, 'i': 68}, {'q': 93, 'i': -67}, {'q': -90, 'i': 73}, {'q': 89, 'i': -78}, {'q': -87, 'i': 73}, {'q': 92, 'i': -71}, {'q': -90, 'i': 69}, {'q': 99, 'i': -59}, {'q': -101, 'i': 55}, {'q': 98, 'i': -55}, {'q': -109, 'i': 55}, {'q': 104, 'i': -58}, {'q': -101, 'i': 55}, {'q': 102, 'i': -64}, {'q': -100, 'i': 63}, {'q': 98, 'i': -61}, {'q': -106, 'i': 60}, {'q': 103, 'i': -55}, {'q': -107, 'i': 48}, {'q': 104, 'i': -45}, {'q': -109, 'i': 45}, {'q': 109, 'i': -46}, {'q': -107, 'i': 36}, {'q': 109, 'i': -36}, {'q': -115, 'i': 28}, {'q': 107, 'i': -40}]}}
[2021-03-29 17:25:26,828]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -69, 'antenna': 1, 'channel': 12, 'offset': 0, 'samplesLength': 82, 'samples': [{'q': 110, 'i': 45}, {'q': -51, 'i': 111}, {'q': -104, 'i': -54}, {'q': 57, 'i': -94}, {'q': 107, 'i': 43}, {'q': -55, 'i': 102}, {'q': -101, 'i': -55}, {'q': 58, 'i': -100}, {'q': -52, 'i': 103}, {'q': 60, 'i': -90}, {'q': -71, 'i': 95}, {'q': 69, 'i': -93}, {'q': -63, 'i': 99}, {'q': 64, 'i': -99}, {'q': -72, 'i': 89}, {'q': 76, 'i': -94}, {'q': -65, 'i': 99}, {'q': 68, 'i': -91}, {'q': -70, 'i': 99}, {'q': 72, 'i': -92}, {'q': -74, 'i': 87}, {'q': 73, 'i': -86}, {'q': -82, 'i': 87}, {'q': 83, 'i': -80}, {'q': -78, 'i': 83}, {'q': 77, 'i': -86}, {'q': -91, 'i': 76}, {'q': 83, 'i': -82}, {'q': -84, 'i': 77}, {'q': 79, 'i': -90}, {'q': -81, 'i': 85}, {'q': 80, 'i': -85}]}}
[2021-03-29 17:25:26,916]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -78, 'antenna': 1, 'channel': 20, 'offset': 224, 'samplesLength': 512, 'samples': [{'q': -102, 'i': -1}, {'q': -83, 'i': 47}, {'q': -46, 'i': 82}, {'q': 5, 'i': 101}, {'q': 56, 'i': 97}, {'q': 84, 'i': 71}, {'q': 94, 'i': 25}, {'q': 88, 'i': -18}, {'q': 73, 'i': -59}, {'q': 57, 'i': -83}, {'q': 34, 'i': -97}, {'q': -2, 'i': -101}, {'q': -42, 'i': -92}, {'q': -86, 'i': -69}, {'q': -112, 'i': -36}, {'q': -121, 'i': 10}, {'q': -111, 'i': 53}, {'q': -91, 'i': 103}, {'q': -71, 'i': 140}, {'q': -46, 'i': 166}, {'q': -4, 'i': 172}, {'q': 45, 'i': 157}, {'q': 100, 'i': 117}, {'q': 136, 'i': 66}, {'q': 151, 'i': -2}, {'q': 139, 'i': -64}, {'q': 107, 'i': -120}, {'q': 54, 'i': -163}, {'q': -2, 'i': -175}, {'q': -65, 'i': -157}, {'q': -112, 'i': -115}, {'q': -149, 'i': -50}]}}
