[2021-03-29 17:26:30,851]      root -     INFO - Setting nodes : 
[2021-03-29 17:26:30,855]      root -     INFO - Message receiver started
[2021-03-29 17:26:30,856]      root -     INFO - RTLS Manager started
[2021-03-29 17:26:32,877]      root -     INFO - Done setting node
[2021-03-29 17:26:32,888]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-29 17:26:32,889]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': None}
[2021-03-29 17:26:33,001]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-29 17:26:33,003]      root -  WARNING - ConstError('parsing expected 254 but parsed 0')
[2021-03-29 17:26:33,009]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-29 17:26:33,079]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_RESET_DEVICE', 'payload': {'raw_payload': ''}}
[2021-03-29 17:26:33,113]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:26:33,195]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:33,255]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -64, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:26:35,167]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:35,174]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:26:35,282]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:35,283]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -72, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:26:37,257]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:37,306]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_SCAN', 'payload': None}
[2021-03-29 17:26:37,374]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_SCAN', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:37,375]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN', 'payload': {'eventType': 19, 'addrType': 0, 'addr': '80:6F:B0:31:D7:F1', 'rssi': -60, 'dataLen': 14, 'data': '0A:08:52:54:4C:53:53:6C:61:76:65:02:01:06'}}
[2021-03-29 17:26:39,369]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_SCAN_STOP', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:39,445]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_CONNECT', 'payload': {'addrType': 0, 'peerAddr': '80:6F:B0:31:D7:F1', 'connInterval': 240}}
[2021-03-29 17:26:39,538]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_CONNECT', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:39,595]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 4022270176, 'connInterval': 480, 'hopValue': 11, 'mSCA': 0, 'currChan': 11, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 9870736}}
[2021-03-29 17:26:39,596]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'connHandle': 0, 'accessAddress': 4022270176, 'connInterval': 480, 'hopValue': 11, 'mSCA': 0, 'currChan': 11, 'chanMap': [255, 255, 255, 255, 31], 'crcInit': 9870736, 'peerAddr': '80:6F:B0:31:D7:F1'}}
[2021-03-29 17:26:39,702]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_CONN_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:40,303]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:43,177]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_CONNECT', 'payload': {'connHandle': 0, 'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:43,267]      root -     INFO - Connection process done
[2021-03-29 17:26:43,270]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-29 17:26:43,271]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_IDENTIFY', 'payload': None}
[2021-03-29 17:26:43,375]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': True, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': False, 'RTLS_PASSIVE': True}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:31:FB:AF'}}
[2021-03-29 17:26:43,377]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_IDENTIFY', 'payload': {'capabilities': {'CM': False, 'AOA_TX': False, 'AOA_RX': True, 'TOF_SLAVE': False, 'TOF_PASSIVE': False, 'TOF_MASTER': False, 'RTLS_SLAVE': False, 'RTLS_MASTER': True, 'RTLS_PASSIVE': False}, 'revNum': 2, 'devId': 'DeviceFamily_ID_CC26X2', 'identifier': '80:6F:B0:EE:AC:E1'}}
[2021-03-29 17:26:43,379]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_PASSIVE', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [3, 4, 5]}}
[2021-03-29 17:26:43,379]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'aoaRole': 'AOA_MASTER', 'aoaResultMode': 'AOA_MODE_RAW', 'connHandle': 0, 'slotDurations': 1, 'sampleRate': 1, 'sampleSize': 1, 'sampleCtrl': 16, 'samplingEnable': 1, 'numAnt': 3, 'antArray': [3, 4, 5]}}
[2021-03-29 17:26:43,485]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:43,494]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_SET_PARAMS', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:43,589]  rtlsnode -     INFO - PASSIVE : 80:6F:B0:31:FB:AF <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-29 17:26:43,591]  rtlsnode -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 <-- {'type': 'Command', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'connHandle': 0, 'enable': 1, 'cteInterval': 1, 'cteLength': 20}}
[2021-03-29 17:26:43,592]      root -     INFO - AOA Started
[2021-03-29 17:26:43,660]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:43,685]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Response', 'command': 'RTLS_CMD_AOA_ENABLE', 'payload': {'status': 'RTLS_SUCCESS'}}
[2021-03-29 17:26:44,390]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 2, 'offset': 0, 'samplesLength': 512, 'samples': [{'q': 68, 'i': 62}, {'q': 79, 'i': -2}, {'q': 90, 'i': -58}, {'q': 82, 'i': -99}, {'q': 39, 'i': -109}, {'q': -21, 'i': -101}, {'q': -80, 'i': -91}, {'q': -108, 'i': -78}, {'q': -108, 'i': -45}, {'q': -90, 'i': 3}, {'q': -63, 'i': 64}, {'q': -38, 'i': 104}, {'q': -9, 'i': 117}, {'q': 20, 'i': 104}, {'q': 56, 'i': 74}, {'q': 90, 'i': 32}, {'q': 114, 'i': -16}, {'q': 124, 'i': -76}, {'q': 115, 'i': -123}, {'q': 89, 'i': -150}, {'q': 53, 'i': -137}, {'q': 5, 'i': -88}, {'q': -39, 'i': -34}, {'q': -80, 'i': 22}, {'q': -100, 'i': 62}, {'q': -97, 'i': 99}, {'q': -74, 'i': 135}, {'q': -40, 'i': 157}, {'q': 9, 'i': 159}, {'q': 61, 'i': 132}, {'q': 120, 'i': 74}, {'q': 155, 'i': 13}]}}
[2021-03-29 17:26:44,403]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 2, 'offset': 32, 'samplesLength': 512, 'samples': [{'q': 157, 'i': -49}, {'q': 118, 'i': -88}, {'q': 54, 'i': -111}, {'q': 2, 'i': -110}, {'q': -27, 'i': -93}, {'q': -31, 'i': -64}, {'q': -27, 'i': -33}, {'q': -30, 'i': 6}, {'q': -39, 'i': 41}, {'q': -45, 'i': 74}, {'q': -32, 'i': 92}, {'q': 6, 'i': 98}, {'q': 47, 'i': 94}, {'q': 75, 'i': 84}, {'q': 68, 'i': 67}, {'q': 41, 'i': 39}, {'q': 19, 'i': 3}, {'q': 16, 'i': -31}, {'q': 18, 'i': -67}, {'q': 5, 'i': -91}, {'q': -30, 'i': -102}, {'q': -70, 'i': -97}, {'q': -102, 'i': -73}, {'q': -110, 'i': -42}, {'q': -95, 'i': 4}, {'q': -65, 'i': 50}, {'q': -24, 'i': 99}, {'q': 16, 'i': 127}, {'q': 49, 'i': 133}, {'q': 81, 'i': 124}, {'q': 104, 'i': 102}, {'q': 121, 'i': 51}]}}
[2021-03-29 17:26:44,404]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 2, 'offset': 64, 'samplesLength': 512, 'samples': [{'q': 126, 'i': -27}, {'q': 111, 'i': -122}, {'q': 72, 'i': -171}, {'q': -3, 'i': -150}, {'q': -84, 'i': -81}, {'q': -157, 'i': 8}, {'q': -182, 'i': 70}, {'q': -158, 'i': 102}, {'q': -96, 'i': 129}, {'q': -33, 'i': 151}, {'q': 32, 'i': 163}, {'q': 80, 'i': 151}, {'q': 121, 'i': 107}, {'q': 142, 'i': 46}, {'q': 145, 'i': -32}, {'q': 126, 'i': -96}, {'q': 88, 'i': -138}, {'q': 43, 'i': -143}, {'q': 5, 'i': -117}, {'q': -28, 'i': -70}, {'q': -49, 'i': -30}, {'q': -62, 'i': 3}, {'q': -68, 'i': 22}, {'q': -63, 'i': 38}, {'q': -47, 'i': 53}, {'q': -20, 'i': 68}, {'q': 7, 'i': 75}, {'q': 32, 'i': 72}, {'q': 50, 'i': 52}, {'q': 62, 'i': 22}, {'q': 71, 'i': -15}, {'q': 72, 'i': -47}]}}
[2021-03-29 17:26:44,406]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 28, 'offset': 0, 'samplesLength': 82, 'samples': [{'q': 44, 'i': -19}, {'q': 5, 'i': 43}, {'q': -32, 'i': 10}, {'q': -15, 'i': -38}, {'q': 47, 'i': -10}, {'q': 6, 'i': 45}, {'q': -42, 'i': 0}, {'q': -6, 'i': -43}, {'q': -3, 'i': 39}, {'q': 8, 'i': -43}, {'q': -4, 'i': 40}, {'q': 11, 'i': -43}, {'q': -13, 'i': 37}, {'q': 17, 'i': -42}, {'q': -13, 'i': 36}, {'q': 16, 'i': -41}, {'q': -14, 'i': 35}, {'q': 20, 'i': -35}, {'q': -22, 'i': 39}, {'q': 41, 'i': -50}, {'q': 13, 'i': 11}, {'q': 78, 'i': -29}, {'q': 7, 'i': 37}, {'q': 3, 'i': -55}, {'q': -55, 'i': -12}, {'q': 42, 'i': 21}, {'q': -29, 'i': 9}, {'q': 13, 'i': 19}, {'q': -71, 'i': 37}, {'q': 88, 'i': -22}, {'q': -31, 'i': 11}, {'q': 12, 'i': -28}]}}
[2021-03-29 17:26:44,407]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 28, 'offset': 32, 'samplesLength': 82, 'samples': [{'q': -15, 'i': 38}, {'q': 42, 'i': 13}, {'q': -34, 'i': -2}, {'q': 29, 'i': 40}, {'q': -69, 'i': 26}, {'q': 6, 'i': 17}, {'q': -62, 'i': -16}, {'q': 9, 'i': 0}, {'q': -54, 'i': -25}, {'q': 42, 'i': 29}, {'q': -37, 'i': -27}, {'q': 48, 'i': -24}, {'q': -32, 'i': -30}, {'q': 2, 'i': 47}, {'q': -22, 'i': -28}, {'q': 41, 'i': 32}, {'q': -53, 'i': -53}, {'q': 20, 'i': 21}, {'q': -32, 'i': -25}, {'q': 4, 'i': 84}, {'q': -48, 'i': -7}, {'q': 45, 'i': 19}, {'q': -53, 'i': -33}, {'q': 57, 'i': 47}, {'q': -6, 'i': -36}, {'q': 13, 'i': 47}, {'q': -23, 'i': -77}, {'q': 12, 'i': 83}, {'q': 7, 'i': -50}, {'q': -15, 'i': 48}, {'q': -40, 'i': -24}, {'q': 3, 'i': 44}]}}
[2021-03-29 17:26:44,408]      root -     INFO - MASTER  : 80:6F:B0:EE:AC:E1 --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -66, 'antenna': 1, 'channel': 28, 'offset': 64, 'samplesLength': 82, 'samples': [{'q': -30, 'i': -55}, {'q': -20, 'i': 36}, {'q': 22, 'i': 0}, {'q': -2, 'i': 82}, {'q': 17, 'i': -24}, {'q': -23, 'i': 42}, {'q': 6, 'i': -33}, {'q': 17, 'i': 29}, {'q': 60, 'i': -23}, {'q': -37, 'i': 20}, {'q': 27, 'i': -39}, {'q': -39, 'i': 31}, {'q': 30, 'i': -24}, {'q': -9, 'i': -10}, {'q': 33, 'i': -16}, {'q': -34, 'i': 19}, {'q': -8, 'i': -22}, {'q': -32, 'i': 30}]}}
[2021-03-29 17:26:44,500]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 2, 'offset': 96, 'samplesLength': 512, 'samples': [{'q': 60, 'i': -78}, {'q': 36, 'i': -100}, {'q': -3, 'i': -117}, {'q': -40, 'i': -121}, {'q': -78, 'i': -107}, {'q': -102, 'i': -77}, {'q': -114, 'i': -30}, {'q': -106, 'i': 22}, {'q': -84, 'i': 68}, {'q': -45, 'i': 110}, {'q': -4, 'i': 130}, {'q': 43, 'i': 125}, {'q': 80, 'i': 97}, {'q': 110, 'i': 50}, {'q': 126, 'i': 6}, {'q': 124, 'i': -40}, {'q': 101, 'i': -77}, {'q': 45, 'i': -110}, {'q': -31, 'i': -125}, {'q': -99, 'i': -113}, {'q': -151, 'i': -67}, {'q': -162, 'i': -6}, {'q': -141, 'i': 68}, {'q': -106, 'i': 122}, {'q': -62, 'i': 159}, {'q': -7, 'i': 163}, {'q': 87, 'i': 134}, {'q': 194, 'i': 82}, {'q': 278, 'i': 19}, {'q': 262, 'i': -30}, {'q': 161, 'i': -58}, {'q': 3, 'i': -82}]}}
[2021-03-29 17:26:44,501]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 2, 'offset': 288, 'samplesLength': 512, 'samples': [{'q': -90, 'i': -64}, {'q': -147, 'i': -108}, {'q': -159, 'i': -127}, {'q': -140, 'i': -70}, {'q': -113, 'i': 34}, {'q': -83, 'i': 105}, {'q': -28, 'i': 123}, {'q': 41, 'i': 104}, {'q': 110, 'i': 84}, {'q': 135, 'i': 73}, {'q': 134, 'i': 42}, {'q': 131, 'i': -23}, {'q': 139, 'i': -104}, {'q': 129, 'i': -142}, {'q': 66, 'i': -120}, {'q': -45, 'i': -62}, {'q': -152, 'i': -18}, {'q': -231, 'i': 7}, {'q': -228, 'i': 22}, {'q': -134, 'i': 56}, {'q': -10, 'i': 101}, {'q': 90, 'i': 142}, {'q': 84, 'i': 142}, {'q': -3, 'i': 92}, {'q': -60, 'i': 19}, {'q': -9, 'i': -53}, {'q': 155, 'i': -84}, {'q': 280, 'i': -87}, {'q': 280, 'i': -86}, {'q': 159, 'i': -96}, {'q': -22, 'i': -111}, {'q': -124, 'i': -110}]}}
[2021-03-29 17:26:44,502]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 2, 'offset': 384, 'samplesLength': 512, 'samples': [{'q': -371, 'i': 99}, {'q': -391, 'i': 82}, {'q': -298, 'i': 27}, {'q': -168, 'i': -9}, {'q': -41, 'i': 6}, {'q': 32, 'i': 50}, {'q': 75, 'i': 84}, {'q': 105, 'i': 68}, {'q': 136, 'i': 23}, {'q': 169, 'i': -22}, {'q': 174, 'i': -34}, {'q': 129, 'i': -25}, {'q': 46, 'i': -26}, {'q': -58, 'i': -55}, {'q': -112, 'i': -93}, {'q': -118, 'i': -109}, {'q': -101, 'i': -66}, {'q': -102, 'i': 47}, {'q': -132, 'i': 196}, {'q': -145, 'i': 301}, {'q': -102, 'i': 325}, {'q': -19, 'i': 259}, {'q': 84, 'i': 132}, {'q': 150, 'i': 36}, {'q': 176, 'i': -26}, {'q': 162, 'i': -72}, {'q': 119, 'i': -161}, {'q': 71, 'i': -263}, {'q': 11, 'i': -329}, {'q': -48, 'i': -270}, {'q': -100, 'i': -125}, {'q': -152, 'i': 27}]}}
[2021-03-29 17:26:44,502]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 2, 'offset': 224, 'samplesLength': 512, 'samples': [{'q': -96, 'i': -162}, {'q': -87, 'i': -38}, {'q': -4, 'i': 126}, {'q': 85, 'i': 237}, {'q': 134, 'i': 282}, {'q': 114, 'i': 254}, {'q': 64, 'i': 178}, {'q': 48, 'i': 114}, {'q': 79, 'i': 80}, {'q': 116, 'i': 75}, {'q': 138, 'i': 62}, {'q': 146, 'i': 28}, {'q': 159, 'i': -20}, {'q': 141, 'i': -46}, {'q': 43, 'i': -51}, {'q': -146, 'i': -66}, {'q': -307, 'i': -105}, {'q': -360, 'i': -148}, {'q': -302, 'i': -146}, {'q': -191, 'i': -86}, {'q': -115, 'i': -12}, {'q': -72, 'i': 57}, {'q': -50, 'i': 98}, {'q': -27, 'i': 137}, {'q': -6, 'i': 164}, {'q': 12, 'i': 149}, {'q': 45, 'i': 67}, {'q': 91, 'i': -36}, {'q': 145, 'i': -125}, {'q': 170, 'i': -141}, {'q': 156, 'i': -108}, {'q': 100, 'i': -67}]}}
[2021-03-29 17:26:44,503]      root -     INFO - PASSIVE : 80:6F:B0:31:FB:AF --> {'type': 'Event', 'command': 'RTLS_CMD_AOA_RESULT_RAW', 'payload': {'connHandle': 0, 'rssi': -79, 'antenna': 1, 'channel': 2, 'offset': 192, 'samplesLength': 512, 'samples': [{'q': -247, 'i': 115}, {'q': -312, 'i': 60}, {'q': -285, 'i': -37}, {'q': -224, 'i': -121}, {'q': -172, 'i': -119}, {'q': -129, 'i': -41}, {'q': -99, 'i': 43}, {'q': -68, 'i': 98}, {'q': -32, 'i': 105}, {'q': 28, 'i': 94}, {'q': 93, 'i': 91}, {'q': 150, 'i': 94}, {'q': 160, 'i': 76}, {'q': 132, 'i': 24}, {'q': 89, 'i': -63}, {'q': 59, 'i': -127}, {'q': 27, 'i': -144}, {'q': -17, 'i': -102}, {'q': -86, 'i': -34}, {'q': -139, 'i': 8}, {'q': -150, 'i': 32}, {'q': -115, 'i': 54}, {'q': -48, 'i': 90}, {'q': 16, 'i': 103}, {'q': 62, 'i': 81}, {'q': 105, 'i': 51}, {'q': 136, 'i': 62}, {'q': 157, 'i': 109}, {'q': 150, 'i': 119}, {'q': 104, 'i': 41}, {'q': 36, 'i': -81}, {'q': -48, 'i': -180}]}}
